thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 302970,0,0, 0,0,9992,127,31
1, 1, 335451,0,0, 0,0,9990,140,34
1, 1, 335323,0,0, 0,0,9991,140,34
4, 1, 411053,620638,0, 0,0,9997,127,37
4, 1, 411290,667362,0, 0,0,9997,127,37
4, 1, 413725,681336,0, 0,0,9997,128,37
8, 1, 336060,1472751,0, 0,0,9999,104,30
8, 1, 342231,1384443,0, 0,0,10000,95,28
8, 1, 331975,1347770,0, 0,0,9999,103,30
16, 1, 213382,1919613,0, 0,0,10002,59,17
16, 1, 229485,1937192,0, 0,0,10001,64,18
16, 1, 234271,1962037,0, 0,0,10001,65,19
32, 1, 86934,1940065,0, 0,0,10008,24,7
32, 1, 107408,1981499,0, 0,0,10007,30,8
32, 1, 91554,1973519,0, 0,0,10011,26,7
48, 1, 64612,1959575,0, 0,0,10041,18,5
48, 1, 65708,1961345,0, 0,0,10026,18,5
48, 1, 63619,1883557,0, 0,0,10033,17,5
