thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 309965,16423,1339396, 0,0,10000,123,0
1, 1, 285765,15332,1236245, 0,0,10000,113,0
1, 1, 293134,15395,1266468, 0,0,10000,116,0
4, 1, 460589,25329,1993878, 302131,0,10000,141,0
4, 1, 473530,25127,2047470, 277569,0,10000,146,0
4, 1, 474051,25751,2049513, 281831,0,10000,145,0
8, 1, 479090,26145,2073691, 656067,0,10000,147,0
8, 1, 500269,27492,2165332, 678327,0,10000,154,0
8, 1, 482433,26738,2088215, 664455,0,10000,148,0
16, 1, 379862,20961,1643190, 1161672,0,10001,117,0
16, 1, 358318,19176,1549636, 1226120,0,10000,110,0
16, 1, 340636,18213,1472793, 1097598,0,10002,106,0
32, 1, 374364,19793,1616648, 1283361,0,10003,115,0
32, 1, 269508,14975,1167097, 1460179,0,10003,83,0
32, 1, 269468,14507,1165121, 1452246,0,10003,83,0
48, 1, 225335,12193,973914, 1567483,0,10008,69,0
48, 1, 298681,16846,1294247, 1472838,0,10004,92,0
48, 1, 316675,17255,1370044, 1457002,0,10006,97,0
