thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 240646,13658,1042724, 0,0,10000,95,23
1, 1, 229048,12310,990235, 0,0,10000,91,22
1, 1, 240773,13743,1043903, 0,0,10000,95,23
4, 1, 505630,27798,2188184, 50348,0,10000,156,46
4, 1, 505064,27651,2186713, 46069,0,10000,156,46
4, 1, 512271,28580,2218355, 46511,0,10000,158,46
8, 1, 704195,38978,3049103, 92107,0,10000,217,64
8, 1, 694545,38083,3004738, 96971,0,10000,213,63
8, 1, 691802,37002,2989957, 90293,0,10000,213,63
16, 1, 817477,44389,3536791, 166800,0,10000,252,74
16, 1, 810285,41424,3497944, 181800,0,10001,249,73
16, 1, 794759,46034,3445542, 183383,0,10000,245,72
32, 1, 921057,48978,3981905, 265974,0,10001,283,83
32, 1, 920486,51925,3989483, 256512,0,10001,284,84
32, 1, 930663,52671,4034287, 263153,0,10001,287,85
48, 1, 944710,52110,4089549, 326002,0,10002,291,86
48, 1, 863832,48942,3743293, 329390,0,10003,266,78
48, 1, 937924,50138,4055084, 343110,0,10003,289,85
