thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
New Cap: 2147483648, Root idx: 1
1, 1, 248202,13598,1074417, 0,0,10000,98,0
New Cap: 2147483648, Root idx: 1
1, 1, 247429,13666,1071246, 0,0,10000,98,0
New Cap: 2147483648, Root idx: 1
1, 1, 245339,13689,1064187, 0,0,10000,98,0
4, 1, 485990,26123,2102461, 22334,0,10000,149,0
4, 1, 490262,27391,2122150, 22985,0,10000,151,0
4, 1, 441554,24486,1912012, 30629,0,10002,136,0
8, 1, 618385,35047,2679162, 52852,0,10000,191,0
8, 1, 661574,36502,2863871, 59867,0,10000,204,0
8, 1, 652764,36777,2828478, 58373,0,10000,201,0
16, 1, 776591,42185,3360781, 140049,0,10001,239,0
16, 1, 773797,42753,3350928, 145067,0,10000,239,0
16, 1, 787568,43058,3409711, 150436,0,10000,243,0
32, 1, 852269,46966,3690214, 214059,0,10001,263,0
32, 1, 857715,45549,3708759, 220915,0,10002,264,0
32, 1, 901129,49905,3902977, 227871,0,10002,278,0
48, 1, 888424,50866,3852454, 286084,0,10003,274,0
48, 1, 914291,51130,3959425, 283186,0,10002,282,0
48, 1, 909640,50339,3937788, 278862,0,10002,280,0
