thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 312735,0,0, 0,0,9991,131,32
1, 1, 332323,0,0, 0,0,9991,139,34
1, 1, 335926,0,0, 0,0,9990,140,34
4, 4, 570790,496760,0, 0,0,9996,238,58
4, 4, 567514,489851,0, 0,0,9996,237,57
4, 4, 559697,477650,0, 0,0,9996,233,57
8, 8, 509760,1266192,0, 0,0,9998,213,52
8, 8, 485823,1233172,0, 0,0,9998,203,49
8, 8, 503543,1297774,0, 0,0,9998,210,51
16, 16, 324004,1868951,0, 0,0,10001,122,29
16, 16, 336112,1941003,0, 0,0,10001,126,31
16, 16, 329549,1897801,0, 0,0,10001,124,30
32, 32, 175433,1945125,0, 0,0,10006,66,16
32, 32, 200227,1815114,0, 0,0,10004,75,18
32, 32, 161080,1925425,0, 0,0,10007,61,14
48, 48, 87951,1697347,0, 0,0,10022,33,8
48, 48, 89998,1702247,0, 0,0,10020,33,8
48, 48, 73876,1866047,0, 0,0,10018,28,6
