thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 267724,14271,1157559, 0,0,10000,106,0
1, 1, 311817,17055,1348855, 0,0,10000,123,0
1, 1, 309787,16804,1339716, 0,0,10000,123,0
4, 4, 730865,40642,3164240, 509552,0,10000,291,0
4, 4, 694704,39088,3009075, 501803,0,10000,276,0
4, 4, 693721,38004,3001348, 500291,0,10000,276,0
8, 8, 595370,32634,2576536, 1456783,0,10000,237,0
8, 8, 558305,30597,2414706, 1408346,0,10000,222,0
8, 8, 537881,29695,2328886, 1470465,0,10001,214,0
16, 16, 350402,19530,1518277, 1921975,0,10001,139,0
16, 16, 335668,18534,1453451, 1883883,0,10000,133,0
16, 16, 355302,19508,1538024, 1895278,0,10001,141,0
32, 32, 206868,11341,895177, 1945989,0,10005,81,0
32, 32, 204877,11246,887151, 1917616,0,10007,81,0
32, 32, 192181,10502,831694, 2096374,0,10005,76,0
48, 48, 76973,4287,333436, 1738763,0,10024,30,0
48, 48, 75860,4077,328019, 1969679,0,10038,29,0
48, 48, 77816,4265,336446, 1870727,0,10026,30,0
