thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 268868,14559,1162504, 0,0,10000,106,26
1, 1, 247914,13538,1072883, 0,0,10000,98,24
1, 1, 257899,14223,1116052, 0,0,10000,102,25
4, 4, 610478,33676,2642383, 443543,0,10000,243,59
4, 4, 599172,32514,2592603, 434291,0,10000,238,58
4, 4, 621529,34246,2690235, 453060,0,10000,247,60
8, 8, 551382,30471,2384742, 1413530,0,10000,220,53
8, 8, 528052,29081,2285958, 1412891,0,10000,210,51
8, 8, 502490,27358,2175487, 1345187,0,10000,199,48
16, 16, 293164,16072,1269774, 2025389,0,10002,116,28
16, 16, 286874,15306,1239904, 1989057,0,10003,114,27
16, 16, 261400,14495,1131213, 1980161,0,10002,104,25
32, 32, 91683,5059,397043, 2045810,0,10015,36,8
32, 32, 169273,9198,732124, 2106181,0,10007,67,16
32, 32, 90499,4935,391596, 2047863,0,10007,36,8
48, 48, 61023,3403,264479, 2110724,0,10020,24,5
48, 48, 67089,3644,290329, 2059739,0,10028,26,6
48, 48, 57975,3248,250934, 2297861,0,10032,23,5
