thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
New Cap: 2147483648, Root idx: 1
1, 1, 247835,13283,1072094, 0,0,10000,98,0
New Cap: 2147483648, Root idx: 1
1, 1, 246412,13106,1065263, 0,0,10000,97,0
New Cap: 2147483648, Root idx: 1
1, 1, 246904,13334,1068282, 0,0,10000,98,0
New Cap: 2147483648, Root idx: 1
New Cap: 2147483648, Root idx: 1
4, 4, 775808,42676,3359548, 91,0,10000,309,0
New Cap: 2147483648, Root idx: 1
New Cap: 2147483648, Root idx: 1
4, 4, 780357,43518,3380732, 72,0,10000,311,0
New Cap: 2147483648, Root idx: 1
New Cap: 2147483648, Root idx: 1
4, 4, 801385,43714,3465816, 90,0,10001,319,0
New Cap: 2147483648, Root idx: 1
8, 8, 1488651,82651,6443346, 157,0,10000,184,0
8, 8, 1489527,82254,6450546, 135,0,10000,183,0
8, 8, 1445460,79193,6255926, 135,0,10000,166,0
16, 16, 2355435,128864,10193333, 251,0,10002,119,0
16, 16, 2442636,135229,10576153, 251,0,10000,154,0
16, 16, 2247920,122402,9725587, 222,0,10002,75,0
32, 32, 3139226,173274,13591797, 302,0,10001,20,0
32, 32, 3028881,166147,13111278, 414,0,10001,386,0
32, 32, 2947027,161725,12757246, 317,0,10001,354,0
48, 48, 3037647,167919,13153654, 373,0,10002,391,0
48, 48, 3228721,177566,13975579, 411,0,10005,57,0
48, 48, 2965479,163279,12835264, 330,0,10002,362,0
