pmcpy_chunk_sizes_aligned: pmem_memcpy [8] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.013109;3814149.901126;0.013109;0.013109;0.013109;0.000000;282;70;38052;238.271673;274;730;912;1;50000;64;0;1;false;-1;0;write;0;0;seq;seq;false;true;false;232.797235
0.015941;3136619.410568;0.015941;0.015941;0.015941;0.000000;338;72;38838;235.406051;331;825;948;1;50000;128;0;1;false;-1;0;write;0;0;seq;seq;false;true;false;382.888112
0.023178;2157209.582101;0.023178;0.023178;0.023178;0.000000;483;74;41316;303.076225;457;1087;1431;1;50000;256;0;1;false;-1;0;write;0;0;seq;seq;false;true;false;526.662496
0.022848;2188412.992223;0.022848;0.022848;0.022848;0.000000;476;88;39514;266.567450;435;788;1047;1;50000;512;0;1;false;-1;0;write;0;0;seq;seq;false;true;false;1068.561031
0.051923;962967.857693;0.051923;0.051923;0.051923;0.000000;1058;51;36582;381.102130;1092;1684;3934;1;50000;1024;0;1;false;-1;0;write;0;0;seq;seq;false;true;false;940.398299
0.074132;674469.969461;0.074132;0.074132;0.074132;0.000000;1502;659;40185;383.304256;1480;2168;5197;1;50000;2048;0;1;false;-1;0;write;0;0;seq;seq;false;true;false;1317.324159
0.144004;347213.264602;0.144004;0.144004;0.144004;0.000000;2900;2003;42361;435.426621;2869;3714;6435;1;50000;4096;0;1;false;-1;0;write;0;0;seq;seq;false;true;false;1356.301815
0.277629;180096.361711;0.277629;0.277629;0.277629;0.000000;5572;4332;45948;529.900195;5526;6633;9864;1;50000;8192;0;1;false;-1;0;write;0;0;seq;seq;false;true;false;1407.002826
pmcpy_destination_offsets: pmem_memcpy [63] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.039727;1258577.330364;0.039727;0.039727;0.039727;0.000000;814;62;38601;317.290310;781;1443;3027;1;50000;512;0;1;false;-1;0;write;0;1;seq;seq;false;true;false;614.539712
0.039565;1263747.391657;0.039565;0.039565;0.039565;0.000000;811;82;41172;317.931415;777;1457;2135;1;50000;512;0;1;false;-1;0;write;0;2;seq;seq;false;true;false;617.064156
0.040248;1242308.094147;0.040248;0.040248;0.040248;0.000000;824;62;41346;328.649202;794;1450;2534;1;50000;512;0;1;false;-1;0;write;0;3;seq;seq;false;true;false;606.595749
0.043050;1161437.056290;0.043050;0.043050;0.043050;0.000000;880;136;15833;273.399927;842;1481;3244;1;50000;512;0;1;false;-1;0;write;0;4;seq;seq;false;true;false;567.107938
0.040346;1239279.120259;0.040346;0.040346;0.040346;0.000000;826;65;36662;327.004486;797;1452;3103;1;50000;512;0;1;false;-1;0;write;0;5;seq;seq;false;true;false;605.116758
0.040626;1230731.089466;0.040626;0.040626;0.040626;0.000000;832;43;20993;293.787196;803;1467;2715;1;50000;512;0;1;false;-1;0;write;0;6;seq;seq;false;true;false;600.942915
0.039530;1264872.657301;0.039530;0.039530;0.039530;0.000000;810;60;17246;283.279871;780;1443;2779;1;50000;512;0;1;false;-1;0;write;0;7;seq;seq;false;true;false;617.613602
0.044021;1135831.421899;0.044021;0.044021;0.044021;0.000000;900;59;37454;331.488993;862;1538;3112;1;50000;512;0;1;false;-1;0;write;0;8;seq;seq;false;true;false;554.605186
0.040835;1224451.573038;0.040835;0.040835;0.040835;0.000000;836;51;26288;327.548822;802;1473;3077;1;50000;512;0;1;false;-1;0;write;0;9;seq;seq;false;true;false;597.876745
0.041370;1208607.928047;0.041370;0.041370;0.041370;0.000000;847;72;36622;328.875420;815;1480;2814;1;50000;512;0;1;false;-1;0;write;0;10;seq;seq;false;true;false;590.140590
0.039898;1253209.155345;0.039898;0.039898;0.039898;0.000000;817;71;22521;306.927994;783;1447;3424;1;50000;512;0;1;false;-1;0;write;0;11;seq;seq;false;true;false;611.918533
0.040755;1226850.466533;0.040755;0.040755;0.040755;0.000000;835;83;40365;334.758223;805;1466;3044;1;50000;512;0;1;false;-1;0;write;0;12;seq;seq;false;true;false;599.048079
0.040307;1240476.643723;0.040307;0.040307;0.040307;0.000000;826;47;21387;308.440341;793;1465;3001;1;50000;512;0;1;false;-1;0;write;0;13;seq;seq;false;true;false;605.701486
0.039388;1269431.054204;0.039388;0.039388;0.039388;0.000000;807;49;38959;310.839297;775;1448;2144;1;50000;512;0;1;false;-1;0;write;0;14;seq;seq;false;true;false;619.839382
0.040224;1243034.006353;0.040224;0.040224;0.040224;0.000000;824;42;40303;349.226237;788;1466;3228;1;50000;512;0;1;false;-1;0;write;0;15;seq;seq;false;true;false;606.950198
0.043704;1144065.773165;0.043704;0.043704;0.043704;0.000000;894;60;17631;300.311050;852;1530;2485;1;50000;512;0;1;false;-1;0;write;0;16;seq;seq;false;true;false;558.625866
0.035889;1393190.791154;0.035889;0.035889;0.035889;0.000000;737;39;18005;245.149303;714;1256;1788;1;50000;512;0;1;false;-1;0;write;0;17;seq;seq;false;true;false;680.268941
0.039817;1255743.992778;0.039817;0.039817;0.039817;0.000000;816;63;37725;331.023041;781;1459;3185;1;50000;512;0;1;false;-1;0;write;0;18;seq;seq;false;true;false;613.156246
0.039745;1258011.805434;0.039745;0.039745;0.039745;0.000000;814;48;22052;284.025739;785;1434;2636;1;50000;512;0;1;false;-1;0;write;0;19;seq;seq;false;true;false;614.263577
0.039320;1271625.323838;0.039320;0.039320;0.039320;0.000000;806;55;37569;305.680102;777;1438;2419;1;50000;512;0;1;false;-1;0;write;0;20;seq;seq;false;true;false;620.910803
0.039552;1264146.558477;0.039552;0.039552;0.039552;0.000000;811;44;38550;316.240162;779;1443;2133;1;50000;512;0;1;false;-1;0;write;0;21;seq;seq;false;true;false;617.259062
0.039305;1272090.811001;0.039305;0.039305;0.039305;0.000000;806;62;41023;316.451184;772;1453;2123;1;50000;512;0;1;false;-1;0;write;0;22;seq;seq;false;true;false;621.138091
