pmcpy_pmem_memcpy_persist: pmem_memcpy [24] [group: pmem],
total-avg[sec],ops-per-second[1/sec],total-max[sec],total-min[sec],total-median[sec],total-std-dev[sec],latency-avg[nsec],latency-min[nsec],latency-max[nsec],latency-std-dev[nsec],latency-pctl-50.0%[nsec],latency-pctl-99.0%[nsec],latency-pctl-99.9%[nsec],threads,ops-per-thread,data-size,seed,repeats,thread-affinity,main-affinity,min-exe-time,operation,src-offset,dest-offset,src-mode,dest-mode,libc-memcpy,persist,no-warmup,bandwidth[MiB/s]
0.016426,3044039.767092,0.016426,0.016426,0.016426,0.000000,348,127,21698,185.617455,333,701,1073,1,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,371.586886
0.023838,4194936.870605,0.023838,0.023838,0.023838,0.000000,423,70,21879,192.593221,421,712,1272,2,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,512.077255
0.024274,8239381.383950,0.024274,0.024274,0.024274,0.000000,428,88,37135,230.018529,425,734,1487,4,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1005.783860
0.027180,14716698.043893,0.027180,0.027180,0.027180,0.000000,508,72,49825,552.151683,453,4081,5646,8,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1796.471929
0.266334,3003749.452783,0.266334,0.266334,0.266334,0.000000,5342,41,213576,8907.155966,2692,45254,70522,16,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,366.668634
0.585224,2733995.754874,0.585224,0.585224,0.585224,0.000000,11006,38,593425,19366.583678,4356,91189,175231,32,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,333.739716
0.049093,1018475.097530,0.049093,0.049093,0.049093,0.000000,1001,386,18206,297.375071,919,1616,2903,1,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,497.302294
0.080753,1238337.461620,0.080753,0.080753,0.080753,0.000000,1328,434,33856,425.703045,1499,2187,3883,2,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,604.656964
0.086024,2324940.847111,0.086024,0.086024,0.086024,0.000000,1386,339,41825,560.542923,1540,2253,5446,4,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1135.225023
0.106589,3752715.699625,0.106589,0.106589,0.106589,0.000000,2140,320,57470,1789.811999,1571,8598,11503,8,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1832.380713
1.002647,797887.704008,1.002647,1.002647,1.002647,0.000000,20045,319,1670415,23834.357249,11547,112530,158518,16,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,389.593605
2.470823,647557.396562,2.470823,2.470823,2.470823,0.000000,48525,309,3007135,66184.107166,20324,294886,435196,32,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,316.190135
0.168715,296357.278282,0.168715,0.168715,0.168715,0.000000,3394,2680,42478,581.670696,3140,5123,6126,1,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,578.822809
0.172086,581103.955610,0.172086,0.172086,0.172086,0.000000,3455,2710,43045,585.970433,3345,5196,6670,2,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1134.968663
0.325728,614009.432628,0.325728,0.325728,0.325728,0.000000,5105,2683,46639,1719.763770,6147,8633,16604,4,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1199.237173
0.427826,934959.198708,0.427826,0.427826,0.427826,0.000000,8405,2714,57448,3717.053479,7579,19682,25800,8,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1826.092185
2.973201,269070.259636,2.973201,2.973201,2.973201,0.000000,59136,2717,4301599,49604.095222,41440,237241,291591,16,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,525.527851
