pmcpy_pmem_memcpy_persist: pmem_memcpy [24] [group: pmem],
total-avg[sec],ops-per-second[1/sec],total-max[sec],total-min[sec],total-median[sec],total-std-dev[sec],latency-avg[nsec],latency-min[nsec],latency-max[nsec],latency-std-dev[nsec],latency-pctl-50.0%[nsec],latency-pctl-99.0%[nsec],latency-pctl-99.9%[nsec],threads,ops-per-thread,data-size,seed,repeats,thread-affinity,main-affinity,min-exe-time,operation,src-offset,dest-offset,src-mode,dest-mode,libc-memcpy,persist,no-warmup,bandwidth[MiB/s]
0.008151,6134505.661903,0.008151,0.008151,0.008151,0.000000,182,57,12807,170.203389,161,576,767,1,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,748.841023
0.015936,6275134.659683,0.015936,0.015936,0.015936,0.000000,292,99,22890,190.184537,301,756,1293,2,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,766.007649
0.016152,12382749.294771,0.016152,0.016152,0.016152,0.000000,301,87,36883,286.208230,290,1111,4348,4,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1511.566076
0.025986,15392989.763085,0.025986,0.025986,0.025986,0.000000,508,58,44118,932.245823,268,4626,6073,8,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1879.027071
0.257171,3110771.331928,0.257171,0.257171,0.257171,0.000000,5147,40,248679,10261.627550,1907,49494,90979,16,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,379.732829
0.600277,2665434.405244,0.600277,0.600277,0.600277,0.000000,11986,41,582583,21549.915316,4008,99637,197607,32,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,325.370411
0.019405,2576633.592139,0.019405,0.019405,0.019405,0.000000,407,143,36331,272.261966,378,1052,1594,1,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1258.121871
0.030315,3298700.714360,0.030315,0.030315,0.030315,0.000000,605,94,40218,706.914293,445,4469,5944,2,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1610.693708
0.061835,3234398.003898,0.061835,0.061835,0.061835,0.000000,1201,60,51463,1605.908369,467,5686,9812,4,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1579.295900
0.283966,1408617.441875,0.283966,0.283966,0.283966,0.000000,5637,62,206026,11159.486627,2166,58767,97336,8,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,687.801485
0.820687,974792.715751,0.820687,0.820687,0.820687,0.000000,16266,63,387576,28299.776745,4964,126476,184745,16,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,475.973006
2.317707,690337.512128,2.317707,2.317707,2.317707,0.000000,46198,65,776501,62704.000823,18750,261130,410088,32,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,337.078863
0.068554,729350.224365,0.068554,0.068554,0.068554,0.000000,1390,482,38440,441.796309,1366,2339,4752,1,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1424.512157
0.082152,1217248.528505,0.082152,0.082152,0.082152,0.000000,1661,429,41169,607.544744,1635,2975,6448,2,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,2377.438532
0.269105,743204.543629,0.269105,0.269105,0.269105,0.000000,5275,344,69960,4283.619970,4811,18300,35540,4,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1451.571374
0.925292,432296.178285,0.925292,0.925292,0.925292,0.000000,18213,325,244149,24044.161607,9663,113847,156369,8,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,844.328473
4.439356,180206.336846,4.439356,4.439356,4.439356,0.000000,86802,369,8784990,91651.161455,42014,331152,428847,16,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,351.965502
11.881069,134668.018175,11.881069,11.881069,11.881069,0.000000,230482,363,24466592,246012.005173,137355,946371,1300898,32,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,263.023473
0.261977,190856.767596,0.261977,0.261977,0.261977,0.000000,5258,3416,28843,772.297949,5195,7180,10964,1,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1491.068497
0.596430,167664.182204,0.596430,0.596430,0.596430,0.000000,11705,3311,56593,7247.049100,9128,34417,43888,2,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1309.876423
1.127083,177449.143384,1.127083,1.127083,1.127083,0.000000,22294,3661,2416628,11540.968874,21221,53045,74117,4,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1386.321433
4.272078,93631.239445,4.272078,4.272078,4.272078,0.000000,80549,3909,5033439,56921.772149,66006,241240,305568,8,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,731.494058
20.818471,38427.414144,20.818471,20.818471,20.818471,0.000000,397762,5339,33639582,235732.990399,395722,931260,1112045,16,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,300.214173
50.530518,31664.033507,50.530518,50.530518,50.530518,0.000000,944404,8203,130669173,683787.692258,843669,2481027,2916679,32,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,247.375262
pmcpy_pmem_memcpy_nodrain: pmem_memcpy [24] [group: pmem],
total-avg[sec],ops-per-second[1/sec],total-max[sec],total-min[sec],total-median[sec],total-std-dev[sec],latency-avg[nsec],latency-min[nsec],latency-max[nsec],latency-std-dev[nsec],latency-pctl-50.0%[nsec],latency-pctl-99.0%[nsec],latency-pctl-99.9%[nsec],threads,ops-per-thread,data-size,seed,repeats,thread-affinity,main-affinity,min-exe-time,operation,src-offset,dest-offset,src-mode,dest-mode,libc-memcpy,persist,no-warmup,bandwidth[MiB/s]
0.006940,7204518.558768,0.006940,0.006940,0.006940,0.000000,157,132,28387,206.828321,137,522,732,1,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,879.457832
0.007456,13412779.911304,0.007456,0.007456,0.007456,0.000000,167,102,33298,224.882220,137,764,3105,2,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,1637.302235
0.014482,13809965.892837,0.014482,0.014482,0.014482,0.000000,296,82,39892,711.102689,137,3983,5268,4,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,1685.786852
0.045619,8768205.067974,0.045619,0.045619,0.045619,0.000000,906,38,118928,3257.276630,134,12925,46110,8,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,1070.337533
0.232023,3447938.395099,0.232023,0.232023,0.232023,0.000000,4629,38,375042,12393.607787,753,64904,122600,16,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,420.890917
0.510512,3134105.549909,0.510512,0.510512,0.510512,0.000000,10080,39,4951401,29743.074079,858,136928,338168,32,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,382.581244
0.017887,2795274.800391,0.017887,0.017887,0.017887,0.000000,376,133,20798,287.739616,276,1246,1720,1,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,1364.880274
0.033626,2973885.272562,0.033626,0.033626,0.033626,0.000000,688,63,34333,1104.762414,310,5037,8830,2,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,1452.092418
0.067704,2954039.924322,0.067704,0.067704,0.067704,0.000000,1342,57,51864,1954.986833,439,7538,17281,4,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,1442.402307
0.227025,1761924.148734,0.227025,0.227025,0.227025,0.000000,4471,61,187994,9455.326735,1581,51757,88703,8,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,860.314526
0.900314,888578.536051,0.900314,0.900314,0.900314,0.000000,17915,62,455571,28961.732200,5676,127167,190515,16,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,433.876238
1.941564,824077.946950,1.941564,1.941564,1.941564,0.000000,37707,59,13824217,75073.560807,9335,329748,759449,32,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,402.381810
0.067827,737164.814292,0.067827,0.067827,0.067827,0.000000,1375,459,40973,457.975211,1343,2390,5388,1,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,1439.775028
0.146938,680558.077496,0.146938,0.146938,0.146938,0.000000,2901,390,39106,2752.451335,1771,13474,18157,2,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,1329.214995
0.277532,720638.123906,0.277532,0.277532,0.277532,0.000000,5473,329,89947,4360.434771,4993,19172,35710,4,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,1407.496336
1.114341,358956.412626,1.114341,1.114341,1.114341,0.000000,21858,333,3550057,31167.229238,9962,142208,199549,8,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,701.086743
4.781519,167310.858157,4.781519,4.781519,4.781519,0.000000,93330,461,11677080,102732.569762,42499,390496,519751,16,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,326.779020
11.759441,136060.885968,11.759441,11.759441,11.759441,0.000000,221984,491,47471302,256078.320483,130362,1000056,1361101,32,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,265.743918
0.262053,190801.130252,0.262053,0.262053,0.262053,0.000000,5260,3341,25359,779.273083,5194,7230,11169,1,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,1490.633830
0.598375,167119.311830,0.598375,0.598375,0.598375,0.000000,11769,3445,58788,7286.536761,9231,34548,44489,2,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,1305.619624
1.125741,177660.762188,1.125741,1.125741,1.125741,0.000000,22273,3556,111844,10179.505356,21230,52997,74860,4,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,1387.974705
4.417515,90548.649190,4.417515,4.417515,4.417515,0.000000,83391,6345,4683379,61151.688340,66977,257874,338131,8,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,707.411322
18.608659,42990.738209,18.608659,18.608659,18.608659,0.000000,360552,5155,16734906,230821.573600,351455,895128,1074437,16,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,335.865142
53.236121,30054.781612,53.236121,53.236121,53.236121,0.000000,993970,7086,117405295,706503.710391,902693,2544079,3206883,32,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,234.802981
pmcpy_libc_memcpy_persist: pmem_memcpy [24] [group: pmem],
total-avg[sec],ops-per-second[1/sec],total-max[sec],total-min[sec],total-median[sec],total-std-dev[sec],latency-avg[nsec],latency-min[nsec],latency-max[nsec],latency-std-dev[nsec],latency-pctl-50.0%[nsec],latency-pctl-99.0%[nsec],latency-pctl-99.9%[nsec],threads,ops-per-thread,data-size,seed,repeats,thread-affinity,main-affinity,min-exe-time,operation,src-offset,dest-offset,src-mode,dest-mode,libc-memcpy,persist,no-warmup,bandwidth[MiB/s]
0.011333,4412047.466218,0.011333,0.011333,0.011333,0.000000,245,110,19758,174.034155,224,687,1032,1,50000,128,0,1,false,-1,0,write,0,0,seq,seq,true,true,false,538.580013
0.015702,6368620.330114,0.015702,0.015702,0.015702,0.000000,290,110,21621,181.777527,291,795,1287,2,50000,128,0,1,false,-1,0,write,0,0,seq,seq,true,true,false,777.419474
0.015849,12619044.914967,0.015849,0.015849,0.015849,0.000000,300,105,23115,274.014578,284,1108,4245,4,50000,128,0,1,false,-1,0,write,0,0,seq,seq,true,true,false,1540.410756
0.026227,15251331.650959,0.026227,0.026227,0.026227,0.000000,520,57,54223,958.698027,273,4694,6392,8,50000,128,0,1,false,-1,0,write,0,0,seq,seq,true,true,false,1861.734821
0.220086,3634935.536281,0.220086,0.220086,0.220086,0.000000,4406,33,318392,10267.600416,1716,54484,107107,16,50000,128,0,1,false,-1,0,write,0,0,seq,seq,true,true,false,443.717717
0.575007,2782573.882023,0.575007,0.575007,0.575007,0.000000,10838,34,704865,27489.848058,2568,138385,256027,32,50000,128,0,1,false,-1,0,write,0,0,seq,seq,true,true,false,339.669663
0.020257,2468303.039686,0.020257,0.020257,0.020257,0.000000,424,92,34958,281.861009,391,1122,1614,1,50000,512,0,1,false,-1,0,write,0,0,seq,seq,true,true,false,1205.226094
0.031942,3130712.376069,0.031942,0.031942,0.031942,0.000000,636,59,37087,829.201879,431,4702,8987,2,50000,512,0,1,false,-1,0,write,0,0,seq,seq,true,true,false,1528.668152
0.062024,3224534.528767,0.062024,0.062024,0.062024,0.000000,1211,39,37815,1832.806612,447,8591,12674,4,50000,512,0,1,false,-1,0,write,0,0,seq,seq,true,true,false,1574.479750
