pmcpy_pmem_memcpy_persist: pmem_memcpy [24] [group: pmem]
total-avg[sec],ops-per-second[1/sec],total-max[sec],total-min[sec],total-median[sec],total-std-dev[sec],latency-avg[nsec],latency-min[nsec],latency-max[nsec],latency-std-dev[nsec],latency-pctl-50.0%[nsec],latency-pctl-99.0%[nsec],latency-pctl-99.9%[nsec],threads,ops-per-thread,data-size,seed,repeats,thread-affinity,main-affinity,min-exe-time,operation,src-offset,dest-offset,src-mode,dest-mode,libc-memcpy,persist,no-warmup,bandwidth[MiB/s]
0.011529,4336897.106249,0.011529,0.011529,0.011529,0.000000,250,138,17722,171.401712,226,671,1185,1,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,529.406385
0.015613,6404779.092444,0.015613,0.015613,0.015613,0.000000,293,118,39650,292.391783,285,721,1277,2,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,781.833385
0.015942,12545149.994831,0.015942,0.015942,0.015942,0.000000,300,110,41744,371.737733,280,1052,4006,4,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1531.390380
0.026411,15145473.599149,0.026411,0.026411,0.026411,0.000000,516,61,48894,940.995375,266,4627,6116,8,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1848.812695
0.264605,3023378.862837,0.264605,0.264605,0.264605,0.000000,5299,41,225354,9642.112067,2045,43371,86282,16,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,369.064803
0.639932,2500267.001169,0.639932,0.639932,0.639932,0.000000,12664,38,553614,22461.353735,4253,109150,206049,32,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,305.208374
0.019806,2524531.631220,0.019806,0.019806,0.019806,0.000000,416,146,21292,246.025909,382,1096,1651,1,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1232.681461
0.029509,3388777.804752,0.029509,0.029509,0.029509,0.000000,588,86,34882,700.260266,401,4443,5681,2,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1654.676662
0.061514,3251280.443649,0.061514,0.061514,0.061514,0.000000,1201,64,47271,1588.366841,489,5581,9582,4,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1587.539279
0.284516,1405895.869658,0.284516,0.284516,0.284516,0.000000,5645,67,203656,11050.500758,2197,57736,95595,8,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,686.472593
