pmcpy_pmem_memcpy_persist: pmem_memcpy [24] [group: pmem],
total-avg[sec],ops-per-second[1/sec],total-max[sec],total-min[sec],total-median[sec],total-std-dev[sec],latency-avg[nsec],latency-min[nsec],latency-max[nsec],latency-std-dev[nsec],latency-pctl-50.0%[nsec],latency-pctl-99.0%[nsec],latency-pctl-99.9%[nsec],threads,ops-per-thread,data-size,seed,repeats,thread-affinity,main-affinity,min-exe-time,operation,src-offset,dest-offset,src-mode,dest-mode,libc-memcpy,persist,no-warmup,bandwidth[MiB/s]
0.008351,5987098.999077,0.008351,0.008351,0.008351,0.000000,187,132,21792,214.896477,140,847,1701,1,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,730.847046
0.010892,9180957.592239,0.010892,0.010892,0.010892,0.000000,225,132,27140,386.702610,140,1871,4089,2,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1120.722362
0.020622,9698615.052318,0.020622,0.020622,0.020622,0.000000,401,78,117669,1102.061804,139,3889,12023,4,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1183.912970
0.086312,4634342.605873,0.086312,0.086312,0.086312,0.000000,1664,38,528535,6160.311257,60,31339,64799,8,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,565.715650
0.242100,3304421.203633,0.242100,0.242100,0.242100,0.000000,4633,39,1350385,16427.647460,42,76298,173774,16,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,403.371729
0.489850,3266302.951448,0.489850,0.489850,0.489850,0.000000,9079,38,6524571,34688.108776,46,132375,397913,32,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,398.718622
0.024119,2073041.803676,0.024119,0.024119,0.024119,0.000000,502,125,32624,620.627311,225,2378,5642,1,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1012.227443
0.056571,1767698.314848,0.056571,0.056571,0.056571,0.000000,956,59,29541,1386.690300,277,5389,8772,2,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,863.133943
0.125411,1594757.254662,0.125411,0.125411,0.125411,0.000000,2356,57,99820,3583.031703,896,17955,33914,4,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,778.690066
0.433441,922848.037597,0.433441,0.433441,0.433441,0.000000,8456,61,1564727,15898.050906,1306,71603,118026,8,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,450.609393
0.914114,875164.260537,0.914114,0.914114,0.914114,0.000000,17222,62,4325120,32466.478082,4124,140624,302603,16,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,427.326299
1.996871,801253.531504,1.996871,1.996871,1.996871,0.000000,36246,58,89123592,140212.457806,5308,343449,1453093,32,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,391.237076
0.111299,449239.208459,0.111299,0.111299,0.111299,0.000000,2245,245,20962,1472.679976,1987,6252,10450,1,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,877.420329
0.190871,523915.322521,0.190871,0.190871,0.190871,0.000000,3820,198,69559,2412.328789,3467,10385,21164,2,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1023.272114
0.496555,402775.403669,0.496555,0.496555,0.496555,0.000000,9274,188,150406,5125.035357,8919,29536,43502,4,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,786.670710
1.539054,259899.856310,1.539054,1.539054,1.539054,0.000000,28947,190,6302847,33312.949401,18618,125269,237905,8,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,507.616907
3.917437,204215.169421,3.917437,3.917437,3.917437,0.000000,69371,188,27263551,108576.847251,40937,430775,818135,16,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,398.857753
9.232714,173296.819578,9.232714,9.232714,9.232714,0.000000,164092,206,190460107,449616.170922,83693,1245937,2490474,32,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,338.470351
0.357835,139729.262593,0.357835,0.357835,0.357835,0.000000,7176,3129,44594,1863.290200,6933,12436,23868,1,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1091.634864
0.759398,131683.187780,0.759398,0.759398,0.759398,0.000000,14325,3485,95843,5439.882429,13441,35771,46749,2,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1028.774905
2.104474,95035.622252,2.104474,2.104474,2.104474,0.000000,40012,4959,4389240,22114.548613,38936,79035,118334,4,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,742.465799
6.605656,60554.171360,6.605656,6.605656,6.605656,0.000000,118499,6156,14573114,109566.743359,95983,492846,778390,8,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,473.079464
17.186945,46546.956419,17.186945,17.186945,17.186945,0.000000,301266,6520,44037923,329304.308135,224906,1406946,1963759,16,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,363.648097
42.501229,37645.970623,42.501229,42.501229,42.501229,0.000000,734231,4415,583303500,1556922.619184,522297,4204759,7878361,32,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,294.109145
pmcpy_pmem_memcpy_nodrain: pmem_memcpy [24] [group: pmem],
total-avg[sec],ops-per-second[1/sec],total-max[sec],total-min[sec],total-median[sec],total-std-dev[sec],latency-avg[nsec],latency-min[nsec],latency-max[nsec],latency-std-dev[nsec],latency-pctl-50.0%[nsec],latency-pctl-99.0%[nsec],latency-pctl-99.9%[nsec],threads,ops-per-thread,data-size,seed,repeats,thread-affinity,main-affinity,min-exe-time,operation,src-offset,dest-offset,src-mode,dest-mode,libc-memcpy,persist,no-warmup,bandwidth[MiB/s]
0.007422,6736532.593500,0.007422,0.007422,0.007422,0.000000,168,118,57102,364.006396,134,828,1600,1,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,822.330639
0.010736,9314876.836370,0.010736,0.010736,0.010736,0.000000,219,128,62361,468.804512,134,2232,4123,2,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,1137.069926
0.018989,10532323.093967,0.018989,0.018989,0.018989,0.000000,373,80,35284,933.724327,133,3979,10195,4,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,1285.683971
0.084527,4732201.857560,0.084527,0.084527,0.084527,0.000000,1628,36,627602,6330.330926,57,31402,67000,8,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,577.661360
0.244267,3275109.299916,0.244267,0.244267,0.244267,0.000000,4670,38,1390202,16575.212006,40,76466,181290,16,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,399.793616
0.578900,2763860.440104,0.578900,0.578900,0.578900,0.000000,10904,37,10096391,38921.409706,47,149580,418690,32,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,337.385308
0.023934,2089066.253399,0.023934,0.023934,0.023934,0.000000,498,130,18753,648.656181,220,3861,5670,1,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,1020.051882
0.066983,1492924.671679,0.066983,0.066983,0.066983,0.000000,1106,58,42367,1549.108328,314,5597,9408,2,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,728.967125
0.121936,1640208.558095,0.121936,0.121936,0.121936,0.000000,2266,55,107721,2990.878485,1086,13702,27772,4,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,800.883085
0.380686,1050734.982948,0.380686,0.380686,0.380686,0.000000,7327,59,418982,13441.550926,1580,60664,108291,8,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,513.054191
0.847577,943866.565810,0.847577,0.847577,0.847577,0.000000,15917,59,2321753,30446.708382,4058,135142,293338,16,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,460.872347
1.868319,856384.977389,1.868319,1.868319,1.868319,0.000000,33662,60,62205050,116713.132506,5477,319922,1021685,32,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,418.156727
0.110294,453333.171584,0.110294,0.110294,0.110294,0.000000,2225,234,38406,1468.906794,1982,6306,10163,1,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,885.416351
0.175596,569489.735489,0.175596,0.175596,0.175596,0.000000,3518,240,36246,2392.484013,2676,10334,17861,2,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,1112.284640
0.517761,386278.672350,0.517761,0.517761,0.517761,0.000000,9849,191,125309,6952.472061,8927,37094,53890,4,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,754.450532
1.576208,253773.619914,1.576208,1.576208,1.576208,0.000000,30195,187,7829736,31724.560937,20640,115133,188195,8,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,495.651601
3.960082,202016.022074,3.960082,3.960082,3.960082,0.000000,70624,185,49375669,128899.244591,44097,400305,904278,16,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,394.562543
9.413355,169971.287641,9.413355,9.413355,9.413355,0.000000,159816,200,446317621,1031686.973884,92199,1015781,3063355,32,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,331.975171
0.450902,110888.846493,0.450902,0.450902,0.450902,0.000000,9038,3141,41249,3015.084813,8508,17705,27070,1,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,866.319113
1.102341,90716.002969,1.102341,1.102341,1.102341,0.000000,16780,3635,2207594,10834.792413,14027,39361,44174,2,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,708.718773
2.026688,98683.170880,2.026688,2.026688,2.026688,0.000000,37732,4761,4171207,19791.501813,37112,72223,94000,4,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,770.962272
7.022567,56959.230973,7.022567,7.022567,7.022567,0.000000,130635,5843,20990610,118914.484353,109306,441142,612933,8,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,444.993992
16.192903,49404.360640,16.192903,16.192903,16.192903,0.000000,280482,6355,57251844,332112.806585,201599,1476061,2035073,16,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,385.971567
40.657709,39352.930307,40.657709,40.657709,40.657709,0.000000,692458,4399,709703050,1590481.847791,486046,3722477,7890851,32,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,false,false,307.444768
pmcpy_libc_memcpy_persist: pmem_memcpy [24] [group: pmem],
total-avg[sec],ops-per-second[1/sec],total-max[sec],total-min[sec],total-median[sec],total-std-dev[sec],latency-avg[nsec],latency-min[nsec],latency-max[nsec],latency-std-dev[nsec],latency-pctl-50.0%[nsec],latency-pctl-99.0%[nsec],latency-pctl-99.9%[nsec],threads,ops-per-thread,data-size,seed,repeats,thread-affinity,main-affinity,min-exe-time,operation,src-offset,dest-offset,src-mode,dest-mode,libc-memcpy,persist,no-warmup,bandwidth[MiB/s]
0.006620,7553291.112450,0.006620,0.006620,0.006620,0.000000,152,108,19256,176.667572,115,687,1318,1,50000,128,0,1,false,-1,0,write,0,0,seq,seq,true,true,false,922.032607
0.009711,10297276.185098,0.009711,0.009711,0.009711,0.000000,202,108,45936,439.377674,115,1802,4167,2,50000,128,0,1,false,-1,0,write,0,0,seq,seq,true,true,false,1256.991722
0.022590,8853517.316506,0.022590,0.022590,0.022590,0.000000,447,63,79618,1299.614002,114,4647,15511,4,50000,128,0,1,false,-1,0,write,0,0,seq,seq,true,true,false,1080.751626
0.088956,4496591.819472,0.088956,0.088956,0.088956,0.000000,1729,30,426064,6414.753777,58,33018,65754,8,50000,128,0,1,false,-1,0,write,0,0,seq,seq,true,true,false,548.900369
0.230702,3467676.706108,0.230702,0.230702,0.230702,0.000000,4389,31,2542500,17172.000416,49,76457,176306,16,50000,128,0,1,false,-1,0,write,0,0,seq,seq,true,true,false,423.300379
