pmcpy_pmem_memcpy_persist: pmem_memcpy [24] [group: pmem]
total-avg[sec],ops-per-second[1/sec],total-max[sec],total-min[sec],total-median[sec],total-std-dev[sec],latency-avg[nsec],latency-min[nsec],latency-max[nsec],latency-std-dev[nsec],latency-pctl-50.0%[nsec],latency-pctl-99.0%[nsec],latency-pctl-99.9%[nsec],threads,ops-per-thread,data-size,seed,repeats,thread-affinity,main-affinity,min-exe-time,operation,src-offset,dest-offset,src-mode,dest-mode,libc-memcpy,persist,no-warmup,bandwidth[MiB/s]
0.015414,3243743.726600,0.015414,0.015414,0.015414,0.000000,328,72,27799,219.020490,315,815,1090,1,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,395.964810
0.023827,4196942.888043,0.023827,0.023827,0.023827,0.000000,414,73,20781,195.319262,433,802,1237,2,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,512.322130
0.023869,8378916.735101,0.023869,0.023869,0.023869,0.000000,409,59,20187,204.388297,414,742,1851,4,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1022.816984
0.026755,14950608.422485,0.026755,0.026755,0.026755,0.000000,520,51,43237,689.752077,439,4458,5959,8,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1825.025442
0.188171,4251443.596273,0.188171,0.188171,0.188171,0.000000,3780,33,203859,5670.905748,2564,29503,57847,16,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,518.975048
0.584685,2736518.251651,0.584685,0.584685,0.584685,0.000000,11087,31,539651,25210.349781,2310,113979,216738,32,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,334.047638
0.013573,3683830.936621,0.013573,0.013573,0.013573,0.000000,291,107,18783,165.406061,288,483,733,1,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1798.745575
0.039344,2541695.433364,0.039344,0.039344,0.039344,0.000000,554,40,41987,372.311419,598,1456,2971,2,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1241.062223
0.047792,4184831.012862,0.047792,0.047792,0.047792,0.000000,785,40,44885,896.961675,684,4395,5584,4,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,2043.374518
0.083077,4814827.337824,0.083077,0.083077,0.083077,0.000000,1585,39,42232,1525.236298,1022,5535,8021,8,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,2350.989911
0.155820,5134134.559955,0.155820,0.155820,0.155820,0.000000,2943,37,65060,2595.003262,2882,13150,28027,16,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,2506.901641
0.781851,2046425.670652,0.781851,0.781851,0.781851,0.000000,13519,39,370257,19370.464239,4406,97224,161951,32,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,999.231284
0.236453,211458.367290,0.236453,0.236453,0.236453,0.000000,4749,1293,50247,1428.217060,4780,8377,10757,1,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,413.004624
0.258424,386960.624969,0.258424,0.258424,0.258424,0.000000,4064,338,56701,2220.176796,3936,10428,13835,2,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,755.782471
0.315783,633345.522701,0.315783,0.315783,0.315783,0.000000,5348,342,61439,2831.589060,5112,13131,16434,4,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1237.002974
0.447457,893941.124291,0.447457,0.447457,0.447457,0.000000,7862,322,64201,3892.102926,7501,17973,27203,8,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1745.978758
1.093927,731310.185097,1.093927,1.093927,1.093927,0.000000,20518,328,178976,15242.389388,14830,74001,99233,16,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1428.340205
3.409123,469328.942642,3.409123,3.409123,3.409123,0.000000,60193,326,9657460,56413.399373,45527,233776,344337,32,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,916.658091
0.613405,81512.201450,0.613405,0.613405,0.613405,0.000000,12288,7848,35735,1995.928640,12026,17916,26235,1,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,636.814074
0.740721,135003.654164,0.740721,0.740721,0.740721,0.000000,12652,2443,75136,4959.624008,12341,25775,30842,2,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1054.716048
1.050876,190317.395260,1.050876,1.050876,1.050876,0.000000,18792,2550,4178340,11490.355500,17885,36798,42755,4,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1486.854650
1.745711,229132.936377,1.745711,1.745711,1.745711,0.000000,31053,2732,3500239,14301.097561,30163,56063,68438,8,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1790.101065
