pmcpy_pmem_memcpy_persist: pmem_memcpy [24] [group: pmem],
total-avg[sec],ops-per-second[1/sec],total-max[sec],total-min[sec],total-median[sec],total-std-dev[sec],latency-avg[nsec],latency-min[nsec],latency-max[nsec],latency-std-dev[nsec],latency-pctl-50.0%[nsec],latency-pctl-99.0%[nsec],latency-pctl-99.9%[nsec],threads,ops-per-thread,data-size,seed,repeats,thread-affinity,main-affinity,min-exe-time,operation,src-offset,dest-offset,src-mode,dest-mode,libc-memcpy,persist,no-warmup,bandwidth[MiB/s]
0.010780,4638101.895759,0.010780,0.010780,0.010780,0.000000,234,75,26817,210.211693,214,605,917,1,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,566.174548
0.015597,6411417.863262,0.015597,0.015597,0.015597,0.000000,288,113,19673,207.772157,296,694,1254,2,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,782.643782
0.015066,13275254.977822,0.015066,0.015066,0.015066,0.000000,280,88,27765,227.950430,270,993,2663,4,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1620.514524
0.027020,14803830.920562,0.027020,0.027020,0.027020,0.000000,520,35,29319,979.742347,241,4707,6435,8,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1807.108267
0.195009,4102384.986124,0.195009,0.195009,0.195009,0.000000,3902,33,253287,10087.976622,1572,53736,103581,16,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,500.779417
0.587386,2723931.520368,0.587386,0.587386,0.587386,0.000000,11248,32,659375,28511.270189,2014,138595,252005,32,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,332.511172
0.013513,3700038.199194,0.013513,0.013513,0.013513,0.000000,289,86,14371,163.747362,289,517,936,1,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1806.659277
0.038206,2617373.291585,0.038206,0.038206,0.038206,0.000000,540,43,22507,340.492048,610,1422,3465,2,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1278.014303
0.048500,4123685.662823,0.048500,0.048500,0.048500,0.000000,688,39,23406,975.325884,301,4255,5470,4,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,2013.518390
0.082880,4826236.075675,0.082880,0.082880,0.082880,0.000000,1589,39,52654,1513.647229,1028,5451,7705,8,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,2356.560584
0.154878,5165361.427183,0.154878,0.154878,0.154878,0.000000,2913,39,96538,2440.761898,2864,12128,24682,16,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,2522.149134
0.938400,1705029.323824,0.938400,0.938400,0.938400,0.000000,16164,36,400639,22642.488231,6224,112979,176354,32,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,832.533850
0.238364,209763.560723,0.238364,0.238364,0.238364,0.000000,4786,866,24378,1434.772703,4805,8510,10983,1,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,409.694455
0.256885,389279.002462,0.256885,0.256885,0.256885,0.000000,4035,317,50055,2164.543955,3904,10136,13559,2,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,760.310552
0.304082,657717.929714,0.304082,0.304082,0.304082,0.000000,4798,327,49441,2884.275310,4839,12952,20499,4,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1284.605331
0.450107,888676.665002,0.450107,0.450107,0.450107,0.000000,7899,336,64283,3808.644791,7725,17545,26769,8,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1735.696611
0.838078,954564.794354,0.838078,0.838078,0.838078,0.000000,15934,329,122346,9559.040162,13446,54226,73986,16,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1864.384364
3.478563,459960.068538,3.478563,3.478563,3.478563,0.000000,62075,348,10910282,60430.496669,46188,265287,393332,32,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,898.359509
0.620880,80530.922981,0.620880,0.620880,0.620880,0.000000,12436,7852,36088,2033.606833,12154,18126,23909,1,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,629.147836
0.754196,132591.569773,0.754196,0.754196,0.754196,0.000000,12989,2483,60803,5114.920446,12599,26607,33151,2,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1035.871639
1.039803,192344.216440,1.039803,1.039803,1.039803,0.000000,18543,2519,3499520,10340.786050,17610,37110,45737,4,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1502.689191
1.891389,211484.789790,1.891389,1.891389,1.891389,0.000000,31914,2566,3302863,12653.956725,30545,67678,81603,8,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1652.224920
5.148441,155386.849299,5.148441,5.148441,5.148441,0.000000,95756,4420,6829177,44713.438340,89354,225268,303380,16,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1213.959760
12.956502,123490.117047,12.956502,12.956502,12.956502,0.000000,237373,5080,16524914,144802.029652,228702,665099,932392,32,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,964.766539
pmcpy_pmem_memcpy_nodrain: pmem_memcpy [24] [group: pmem],
