pmcpy_pmem_memcpy_persist: pmem_memcpy [24] [group: pmem],
total-avg[sec],ops-per-second[1/sec],total-max[sec],total-min[sec],total-median[sec],total-std-dev[sec],latency-avg[nsec],latency-min[nsec],latency-max[nsec],latency-std-dev[nsec],latency-pctl-50.0%[nsec],latency-pctl-99.0%[nsec],latency-pctl-99.9%[nsec],threads,ops-per-thread,data-size,seed,repeats,thread-affinity,main-affinity,min-exe-time,operation,src-offset,dest-offset,src-mode,dest-mode,libc-memcpy,persist,no-warmup,bandwidth[MiB/s]
0.011128,4493227.313538,0.011128,0.011128,0.011128,0.000000,242,112,18022,186.420050,216,700,1210,1,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,548.489662
0.014850,6733880.672133,0.014850,0.014850,0.014850,0.000000,278,73,14925,180.883099,261,734,1343,2,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,822.006918
0.016521,12106130.084242,0.016521,0.016521,0.016521,0.000000,315,64,78622,510.919406,252,1860,5289,4,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1477.799083
0.026543,15069714.571694,0.026543,0.026543,0.026543,0.000000,522,47,37937,960.401142,266,4689,6175,8,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1839.564767
0.308263,2595187.907857,0.308263,0.308263,0.308263,0.000000,6177,32,334771,14755.488936,1692,70038,126015,16,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,316.795399
0.584886,2735576.462377,0.584886,0.584886,0.584886,0.000000,11180,33,692634,28544.680996,2001,138164,257295,32,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,333.932674
0.013580,3681924.709942,0.013580,0.013580,0.013580,0.000000,291,85,16769,198.308439,289,539,3203,1,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1797.814800
0.038959,2566814.897660,0.038959,0.038959,0.038959,0.000000,558,43,35063,385.750634,615,1441,4145,2,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1253.327587
0.051327,3896611.670149,0.051327,0.051327,0.051327,0.000000,994,37,38126,1158.596104,693,4401,6841,4,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1902.642417
0.093230,4290467.526132,0.093230,0.093230,0.093230,0.000000,1796,38,49001,1572.309913,1226,5792,8849,8,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,2094.954847
0.156653,5106834.759750,0.156653,0.156653,0.156653,0.000000,2961,39,69635,2523.626786,2921,12743,26045,16,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,2493.571660
0.851572,1878878.113048,0.851572,0.851572,0.851572,0.000000,14700,37,403968,19607.552708,6049,97436,148257,32,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,917.420954
0.236107,211768.573424,0.236107,0.236107,0.236107,0.000000,4742,1180,25477,1419.139330,4781,8377,11038,1,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,413.610495
0.259463,385411.131119,0.259463,0.259463,0.259463,0.000000,4077,343,37860,2336.605839,3807,11327,16588,2,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,752.756115
0.302892,660302.368698,0.302892,0.302892,0.302892,0.000000,4761,321,42810,2798.119016,4823,12673,16958,4,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1289.653064
0.457710,873916.687958,0.457710,0.457710,0.457710,0.000000,8114,322,313217,3876.750971,8018,17861,26859,8,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1706.868531
0.954738,837926.341033,0.954738,0.954738,0.954738,0.000000,18052,358,162026,12561.891419,14029,65918,90323,16,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1636.574885
3.830460,417704.436370,3.830460,3.830460,3.830460,0.000000,68514,341,12522130,67525.980618,50491,286477,428226,32,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,815.828977
0.612909,81578.158984,0.612909,0.612909,0.612909,0.000000,12278,8158,31471,1917.697176,12023,17761,20409,1,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,637.329367
0.739179,135285.313350,0.739179,0.739179,0.739179,0.000000,12599,2520,45594,4908.405093,12311,25381,30507,2,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1056.916511
1.044841,191416.759932,1.044841,1.044841,1.044841,0.000000,18764,2603,2247037,8321.678775,17928,36469,41976,4,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1495.443437
1.715766,233131.956980,1.715766,1.715766,1.715766,0.000000,31000,2560,3834182,12386.282734,30253,56008,68162,8,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1821.343414
4.311831,185536.031588,4.311831,4.311831,4.311831,0.000000,80330,5608,5763268,32323.831680,76255,170495,221838,16,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1449.500247
14.563421,109864.298458,14.563421,14.563421,14.563421,0.000000,248896,5051,17733393,148646.688342,224604,733661,944148,32,50000,8192,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,858.314832
pmcpy_pmem_memcpy_nodrain: pmem_memcpy [24] [group: pmem],
