pmcpy_pmem_memcpy_persist: pmem_memcpy [24] [group: pmem],
total-avg[sec],ops-per-second[1/sec],total-max[sec],total-min[sec],total-median[sec],total-std-dev[sec],latency-avg[nsec],latency-min[nsec],latency-max[nsec],latency-std-dev[nsec],latency-pctl-50.0%[nsec],latency-pctl-99.0%[nsec],latency-pctl-99.9%[nsec],threads,ops-per-thread,data-size,seed,repeats,thread-affinity,main-affinity,min-exe-time,operation,src-offset,dest-offset,src-mode,dest-mode,libc-memcpy,persist,no-warmup,bandwidth[MiB/s]
0.010434,4792241.476064,0.010434,0.010434,0.010434,0.000000,227,88,19768,179.785698,211,566,953,1,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,584.990415
0.010640,9398927.319223,0.010640,0.010640,0.010640,0.000000,230,114,20298,164.858903,213,599,1064,2,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1147.329995
0.016415,12184268.294176,0.016415,0.016415,0.016415,0.000000,312,58,19609,425.729524,256,1913,5209,4,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1487.337438
0.026438,15129768.401827,0.026438,0.026438,0.026438,0.000000,515,45,41613,964.699950,252,4691,6172,8,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1846.895557
0.200600,3988028.914266,0.200600,0.200600,0.200600,0.000000,4013,32,228036,10421.709573,1562,55347,102392,16,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,486.819936
0.579148,2762677.786776,0.579148,0.579148,0.579148,0.000000,11573,33,680429,29097.611222,2381,139143,258448,32,50000,128,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,337.240941
0.014570,3431646.811616,0.014570,0.014570,0.014570,0.000000,310,135,38083,223.425112,301,545,781,1,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1675.608795
0.039088,2558334.241968,0.039088,0.039088,0.039088,0.000000,550,40,42567,368.955352,604,1437,3136,2,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1249.186642
0.046549,4296583.444925,0.046549,0.046549,0.046549,0.000000,735,56,48604,834.221594,668,4187,5296,4,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,2097.941135
0.083132,4811606.769560,0.083132,0.083132,0.083132,0.000000,1605,39,44953,1539.769071,1032,5516,8219,8,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,2349.417368
0.160368,4988520.852310,0.160368,0.160368,0.160368,0.000000,3041,37,62947,2605.896666,3019,13635,26471,16,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,2435.801197
0.949482,1685130.162155,0.949482,0.949482,0.949482,0.000000,15877,40,436510,23393.078434,5530,120254,187401,32,50000,512,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,822.817462
0.237013,210959.069675,0.237013,0.237013,0.237013,0.000000,4759,1330,45054,1435.870217,4781,8433,10652,1,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,412.029433
0.258306,387137.547020,0.258306,0.258306,0.258306,0.000000,4066,324,49774,2250.590255,3871,10722,15129,2,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,756.128022
0.317383,630154.373296,0.317383,0.317383,0.317383,0.000000,5380,318,55828,2847.283927,5133,13129,16956,4,50000,2048,0,1,false,-1,0,write,0,0,seq,seq,false,true,false,1230.770260
