pmcpy_pmem_memcpy_persist: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.013705;3648431.054248;0.013705;0.013705;0.013705;0.000000;295;92;35074;223.719998;276;695;919;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;222.682559
0.014377;6955659.479291;0.014377;0.014377;0.014377;0.000000;258;132;32797;202.609614;261;553;811;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;424.539763
0.013794;14499303.525955;0.013794;0.013794;0.013794;0.000000;256;132;13311;167.154668;252;519;675;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;884.967256
0.013647;29310009.404849;0.013647;0.013647;0.013647;0.000000;246;116;52732;192.414125;234;527;640;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1788.941004
0.014480;55249690.964307;0.014480;0.014480;0.014480;0.000000;266;127;42510;179.852029;255;561;669;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;3372.173521
0.014850;107746516.622459;0.014850;0.014850;0.014850;0.000000;269;106;62400;242.696914;257;563;677;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;6576.325477
0.024114;132702278.705473;0.024114;0.024114;0.024114;0.000000;349;75;61460;288.065899;314;752;1027;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;8099.504316
0.043553;1148021.903156;0.043553;0.043553;0.043553;0.000000;892;113;35171;286.937088;882;1357;2522;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;280.278785
0.043488;2299460.275283;0.043488;0.043488;0.043488;0.000000;889;56;18029;250.063920;886;1207;2743;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;561.391669
0.042835;4669119.900081;0.042835;0.042835;0.042835;0.000000;696;108;37552;285.585175;672;1203;1602;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1139.921851
0.042999;9302565.068361;0.042999;0.042999;0.042999;0.000000;657;69;42464;303.229167;611;1155;1484;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;2271.134050
0.043200;18518377.487357;0.043200;0.043200;0.043200;0.000000;708;70;36149;285.431705;662;1185;1549;16;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;4521.088254
0.043541;36746789.289478;0.043541;0.043541;0.043541;0.000000;701;57;62846;344.453293;655;1206;1548;32;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;8971.384104
0.058076;55099920.347900;0.058076;0.058076;0.058076;0.000000;875;74;69102;460.633051;847;1637;2635;64;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;13452.128991
0.155917;320684.012328;0.155917;0.155917;0.155917;0.000000;3139;2368;39589;404.083911;3048;4049;5786;1;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;313.167981
0.154386;647727.796798;0.154386;0.154386;0.154386;0.000000;2386;1082;20879;814.959705;2640;3959;5488;2;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;632.546677
0.155989;1282139.034606;0.155989;0.155989;0.155989;0.000000;2409;1146;42502;852.273867;2771;3953;6502;4;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1252.088901
0.156329;2558702.537211;0.156329;0.156329;0.156329;0.000000;2210;1144;43155;809.391425;1825;3913;5525;8;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;2498.732946
0.157062;5093516.095992;0.157062;0.157062;0.157062;0.000000;2337;1163;47304;808.543131;2309;3959;6014;16;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;4974.136812
0.162931;9820089.154012;0.162931;0.162931;0.162931;0.000000;2432;1165;63379;814.860379;2326;4040;6238;32;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;9589.930814
0.211148;15155215.334653;0.211148;0.211148;0.211148;0.000000;3436;1192;592070;992.334583;3399;5715;8519;64;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;14800.014975
0.611221;81803.530821;0.611221;0.611221;0.611221;0.000000;12245;11331;51232;603.460388;12139;15475;15942;1;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;319.545042
0.604412;165449.943919;0.604412;0.604412;0.604412;0.000000;9058;5384;47628;3124.944379;11152;14228;15793;2;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;646.288843
0.605441;330337.817888;0.605441;0.605441;0.605441;0.000000;9066;5406;62513;3164.692698;11626;15303;18093;4;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1290.382101
0.612085;653503.874406;0.612085;0.612085;0.612085;0.000000;8319;5407;52899;3071.023456;5962;13997;15709;8;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;2552.749509
0.618224;1294029.876057;0.618224;0.618224;0.618224;0.000000;8837;5449;57040;3152.662129;6273;15333;15912;16;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;5054.804203
0.631790;2532488.527661;0.631790;0.631790;0.631790;0.000000;9027;5665;78240;3131.970026;6497;15507;16076;32;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;9892.533311
0.706397;4530030.691807;0.706397;0.706397;0.706397;0.000000;11113;5707;385459;2670.005731;10243;16201;18879;64;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;17695.432390
