pmcpy_pmem_memcpy_nodrain: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.014027;3564557.123739;0.014027;0.014027;0.014027;0.000000;299;102;18578;157.704324;284;594;826;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;217.563301
0.013952;7167586.339670;0.013952;0.013952;0.013952;0.000000;252;106;34281;202.587432;249;521;751;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;437.474752
0.014374;13913671.650289;0.014374;0.014374;0.014374;0.000000;232;124;37398;168.087902;205;509;711;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;849.223123
0.013877;28825132.979346;0.013877;0.013877;0.013877;0.000000;248;117;36756;168.043043;231;527;636;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1759.346495
0.014386;55609090.890765;0.014386;0.014386;0.014386;0.000000;264;123;42522;175.905783;254;558;668;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;3394.109551
0.015401;103891806.553196;0.015401;0.015401;0.015401;0.000000;261;88;54247;253.678199;244;559;675;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;6341.052646
0.024499;130615480.963141;0.024499;0.024499;0.024499;0.000000;345;56;82117;325.592800;315;742;1013;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;7972.136289
0.044457;1124688.121172;0.044457;0.044457;0.044457;0.000000;908;74;19446;251.422951;897;1403;2457;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;274.582061
0.043873;2279319.375177;0.043873;0.043873;0.043873;0.000000;720;90;19891;285.588145;681;1179;1575;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;556.474457
0.043672;4579596.582879;0.043672;0.043672;0.043672;0.000000;718;68;53357;316.306641;688;1268;1709;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1118.065572
0.042505;9410694.986648;0.042505;0.042505;0.042505;0.000000;677;52;40288;267.842052;631;1141;1457;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2297.532956
0.042538;18806591.531669;0.042538;0.042538;0.042538;0.000000;697;104;45627;308.776093;651;1168;1488;16;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4591.453011
0.043550;36739053.547331;0.043550;0.043550;0.043550;0.000000;694;55;52531;335.833224;654;1211;1552;32;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;8969.495495
0.058541;54662226.727301;0.058541;0.058541;0.058541;0.000000;870;63;75898;471.267118;843;1634;2725;64;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;13345.270197
0.159176;314117.376630;0.159176;0.159176;0.159176;0.000000;3202;2296;36160;372.389829;3086;4116;6131;1;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;306.755251
0.157587;634571.890326;0.157587;0.157587;0.157587;0.000000;2424;1053;39119;861.715688;2718;3973;5997;2;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;619.699112
0.158249;1263832.400759;0.158249;0.158249;0.158249;0.000000;2438;1154;38130;838.507320;2611;3962;5948;4;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1234.211329
0.158377;2525625.405781;0.158377;0.158377;0.158377;0.000000;2232;1139;45221;821.743160;1806;3968;5608;8;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2466.431060
0.160498;4984497.496265;0.160498;0.160498;0.160498;0.000000;2350;1114;45611;845.916822;2259;4008;5635;16;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4867.673336
0.162711;9833357.954628;0.162711;0.162711;0.162711;0.000000;2442;1211;53268;817.894670;2338;4036;6088;32;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;9602.888628
0.210470;15204070.266447;0.210470;0.210470;0.210470;0.000000;3373;1205;70585;870.276237;3356;5457;8502;64;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;14847.724870
0.618445;80847.871027;0.618445;0.618445;0.618445;0.000000;12387;11488;51605;639.105357;12259;15680;16061;1;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;315.811996
0.612205;163343.984853;0.612205;0.612205;0.612205;0.000000;9106;5267;54393;3256.122003;11398;15004;16390;2;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;638.062441
0.613187;326164.781566;0.613187;0.613187;0.613187;0.000000;9091;5313;46038;3258.612869;11527;14641;15781;4;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1274.081178
0.616890;648414.026868;0.616890;0.616890;0.616890;0.000000;8392;5442;51692;3114.776341;5976;14011;15773;8;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2532.867292
0.621781;1286626.420445;0.621781;0.621781;0.621781;0.000000;8841;5438;60064;3188.100201;6187;14303;15943;16;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;5025.884455
0.631756;2532624.521166;0.631756;0.631756;0.631756;0.000000;9042;5610;63100;3153.709413;6524;15279;16234;32;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;9893.064536
0.714890;4476211.533302;0.714890;0.714890;0.714890;0.000000;11184;5725;571606;2747.389388;10407;16310;19296;64;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;17485.201302
pmcpy_libc_memcpy_persist: pmem_memcpy [28] [group: pmem]
