pmcpy_pmem_memcpy_persist: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.014337;3487583.817974;0.014337;0.014337;0.014337;0.000000;306;142;32537;208.094102;286;580;789;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;212.865223
0.013877;7206049.565082;0.013877;0.013877;0.013877;0.000000;255;109;40429;200.701093;246;518;670;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;439.822361
0.013996;14290189.156376;0.013996;0.013996;0.013996;0.000000;257;115;37387;196.296702;256;518;647;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;872.203928
0.013991;28589147.716767;0.013991;0.013991;0.013991;0.000000;250;109;32464;173.767911;234;531;648;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1744.943098
0.014393;55582072.836138;0.014393;0.014393;0.014393;0.000000;264;94;44388;191.753067;247;560;684;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;3392.460500
0.014796;108138935.011271;0.014796;0.014796;0.014796;0.000000;269;82;52714;231.921256;254;567;686;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;6600.276795
0.024399;131151948.549091;0.024399;0.024399;0.024399;0.000000;348;54;65259;312.895816;315;750;1021;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;8004.879672
0.025873;1932536.914257;0.025873;0.025873;0.025873;0.000000;537;136;19881;227.395139;519;928;1169;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;471.810770
0.027185;3678558.440633;0.027185;0.027185;0.027185;0.000000;488;130;23304;257.888081;458;882;1103;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;898.085557
0.028999;6896790.257953;0.028999;0.028999;0.028999;0.000000;515;115;20547;231.181053;488;932;1168;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1683.786684
0.029692;13471754.714912;0.029692;0.029692;0.029692;0.000000;500;107;34459;225.363700;469;922;1157;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;3289.002616
0.030799;25974902.205305;0.030799;0.030799;0.030799;0.000000;522;76;43843;274.095119;488;990;1259;16;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;6341.528859
0.032121;49810936.364661;0.032121;0.032121;0.032121;0.000000;543;86;84961;316.209134;507;1076;1393;32;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;12160.873136
0.045764;69923461.123921;0.045764;0.045764;0.045764;0.000000;773;64;64588;443.429876;720;1659;2552;64;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;17071.157501
0.052832;946390.910816;0.052832;0.052832;0.052832;0.000000;1076;398;20995;338.933151;1055;1739;3663;1;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;924.209874
0.047140;2121325.972134;0.047140;0.047140;0.047140;0.000000;846;223;39403;395.194782;798;1654;2426;2;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;2071.607395
0.049189;4065916.805894;0.049189;0.049189;0.049189;0.000000;848;220;40090;380.249801;810;1598;2130;4;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;3970.621881
0.051306;7796371.864796;0.051306;0.051306;0.051306;0.000000;864;229;40458;388.040134;818;1707;2406;8;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;7613.644399
0.059762;13386542.609114;0.059762;0.059762;0.059762;0.000000;1059;186;43914;447.905866;1007;2107;4082;16;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;13072.795517
0.094341;16959683.355928;0.094341;0.094341;0.094341;0.000000;1754;215;60332;691.061788;1649;3616;5497;32;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;16562.190777
0.182543;17530081.043865;0.182543;0.182543;0.182543;0.000000;3264;149;100731;1330.448528;3174;6563;9131;64;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;17119.219769
0.083577;598248.574652;0.083577;0.083577;0.083577;0.000000;1691;1192;36602;371.863642;1627;2407;5350;1;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;2336.908495
0.083695;1194815.261667;0.083695;0.083695;0.083695;0.000000;1465;699;39531;466.899867;1454;2446;5545;2;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;4667.247116
0.086820;2303624.054452;0.086820;0.086820;0.086820;0.000000;1504;696;40431;469.302270;1509;2466;5596;4;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;8998.531463
0.096289;4154181.835705;0.096289;0.096289;0.096289;0.000000;1688;753;49275;458.579629;1666;2584;5633;8;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;16227.272796
0.143241;5585011.721858;0.143241;0.143241;0.143241;0.000000;2653;880;51685;615.984366;2605;4112;6903;16;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;21816.452039
0.272081;5880603.461647;0.272081;0.272081;0.272081;0.000000;5417;1028;55935;978.678052;5350;7989;10808;32;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;22971.107272
