pmcpy_pmem_memcpy_nodrain: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.011936;4189109.822541;0.011936;0.011936;0.011936;0.000000;258;123;19577;173.457691;271;468;632;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;255.682973
0.010993;9096479.444140;0.010993;0.010993;0.010993;0.000000;213;103;20194;173.120790;190;432;581;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;555.205044
0.011034;18125265.705067;0.011034;0.011034;0.011034;0.000000;215;120;38239;191.297996;193;417;589;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1106.278424
0.011302;35390428.534736;0.011302;0.011302;0.011302;0.000000;219;111;36522;187.490734;219;471;622;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2160.060335
0.011836;67591293.024815;0.011836;0.011836;0.011836;0.000000;231;109;43283;208.774646;224;511;638;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4125.445131
0.011820;135364958.310131;0.011820;0.011820;0.011820;0.000000;237;81;50081;213.696184;230;531;661;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;8262.021381
0.016220;197281619.573592;0.016220;0.016220;0.016220;0.000000;288;42;86887;314.538471;278;672;932;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;12041.114476
0.019166;2608764.069847;0.019166;0.019166;0.019166;0.000000;403;107;15082;207.907554;380;806;1049;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;636.905290
0.019124;5229008.342098;0.019124;0.019124;0.019124;0.000000;352;105;39583;233.685990;319;757;1012;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1276.613365
0.020355;9825485.619714;0.020355;0.020355;0.020355;0.000000;381;73;40826;243.295474;349;813;1059;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2398.800200
0.021258;18816367.680856;0.021258;0.021258;0.021258;0.000000;387;74;40605;220.415112;355;817;1070;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4593.839766
0.022432;35662845.244204;0.022432;0.022432;0.022432;0.000000;410;81;44949;253.633573;377;874;1153;16;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;8706.749327
0.026223;61014157.496302;0.026223;0.026223;0.026223;0.000000;482;67;64697;319.902629;439;1083;1446;32;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;14896.034545
0.042522;75254822.234940;0.042522;0.042522;0.042522;0.000000;749;54;66508;441.625390;688;1761;2748;64;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;18372.759335
0.054603;915699.864645;0.054603;0.054603;0.054603;0.000000;1112;239;36668;381.077477;1118;1761;4027;1;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;894.238149
0.046168;2166008.806472;0.046168;0.046168;0.046168;0.000000;828;159;38786;389.625076;784;1612;2257;2;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2115.242975
0.047491;4211312.989056;0.047491;0.047491;0.047491;0.000000;793;156;41227;374.259761;754;1567;2217;4;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4112.610341
0.050869;7863286.232052;0.050869;0.050869;0.050869;0.000000;868;141;35540;365.334221;830;1671;2338;8;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;7678.990461
0.061727;12960366.179594;0.061727;0.061727;0.061727;0.000000;1081;120;47261;454.613846;1033;2148;4243;16;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;12656.607597
0.096040;16659702.563918;0.096040;0.096040;0.096040;0.000000;1780;133;54939;716.703392;1679;3684;5270;32;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;16269.240785
0.185915;17212126.485291;0.185915;0.185915;0.185915;0.000000;3387;161;435795;1310.629981;3317;6611;9222;64;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;16808.717271
0.085267;586395.055357;0.085267;0.085267;0.085267;0.000000;1725;1116;21981;388.065210;1657;2589;5286;1;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2290.605685
0.085038;1175939.368002;0.085038;0.085038;0.085038;0.000000;1506;656;39668;494.910565;1482;2484;5742;2;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4593.513156
0.087002;2298790.039908;0.087002;0.087002;0.087002;0.000000;1408;677;49745;523.866650;1335;2427;5891;4;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;8979.648593
0.098047;4079668.916917;0.098047;0.098047;0.098047;0.000000;1677;691;39815;476.861109;1631;2692;5680;8;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;15936.206707
0.140059;5711879.625792;0.140059;0.140059;0.140059;0.000000;2577;813;52116;628.665620;2520;4123;6817;16;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;22312.029788
0.271759;5887579.553343;0.271759;0.271759;0.271759;0.000000;5393;1041;60699;1019.080896;5312;8223;10736;32;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;22998.357630
0.567718;5636596.316020;0.567718;0.567718;0.567718;0.000000;9993;801;681431;3952.651221;9333;19989;23981;64;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;22017.954359
pmcpy_libc_memcpy_persist: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.013510;3701023.888259;0.013510;0.013510;0.013510;0.000000;290;77;20951;200.686350;270;688;943;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;225.892571
0.013308;7514308.182067;0.013308;0.013308;0.013308;0.000000;231;94;30800;183.819525;197;546;775;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;458.636974
0.013647;14655754.285141;0.013647;0.013647;0.013647;0.000000;244;89;18092;206.451529;220;548;755;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;894.516253
0.013544;29533028.188242;0.013544;0.013544;0.013544;0.000000;235;70;20554;165.405345;217;539;725;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;1802.552990
0.013617;58748892.399788;0.013617;0.013617;0.013617;0.000000;251;68;23087;168.315963;227;574;766;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;3585.747827
0.013924;114911192.321404;0.013924;0.013924;0.013924;0.000000;254;67;31585;181.700807;232;578;762;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;7013.622578
0.023482;136273717.003183;0.023482;0.023482;0.023482;0.000000;338;37;64731;312.273710;309;753;1013;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;8317.487610
0.019745;2532228.687396;0.019745;0.019745;0.019745;0.000000;414;114;37434;257.301166;386;842;1109;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;618.219894
0.019877;5030877.513829;0.019877;0.019877;0.019877;0.000000;363;110;63629;308.515612;341;742;973;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;1228.241581
0.020866;9585010.270818;0.020866;0.020866;0.020866;0.000000;383;98;40637;242.898112;356;818;1117;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;2340.090398
0.021634;18489402.844983;0.021634;0.021634;0.021634;0.000000;378;91;39198;215.167270;359;740;987;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;4514.014366
0.022251;35953034.730497;0.022251;0.022251;0.022251;0.000000;399;62;45553;253.091425;370;781;1057;16;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;8777.596370
0.024259;65954166.553480;0.024259;0.024259;0.024259;0.000000;446;58;50347;277.678384;412;929;1299;32;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;16102.091444
0.043533;73507292.015252;0.043533;0.043533;0.043533;0.000000;696;45;10184560;5713.293752;617;1745;2604;64;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;17946.116215
0.048262;1036002.388358;0.048262;0.048262;0.048262;0.000000;985;115;35498;373.131840;939;1871;4119;1;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;1011.721082
0.046518;2149696.340344;0.046518;0.046518;0.046518;0.000000;820;136;36708;363.503358;790;1707;2719;2;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;2099.312832
0.043004;4650687.122745;0.043004;0.043004;0.043004;0.000000;764;51;39593;325.290584;749;1491;2249;4;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;4541.686643
0.049118;8143735.630887;0.049118;0.049118;0.049118;0.000000;838;72;45447;357.034017;802;1675;2686;8;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;7952.866827
0.059260;13499928.298506;0.059260;0.059260;0.059260;0.000000;1061;88;46088;407.429568;1019;2145;3986;16;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;13183.523729
0.097767;16365370.311815;0.097767;0.097767;0.097767;0.000000;1850;54;89365;639.420019;1773;3814;5678;32;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;15981.806945
0.201551;15876837.418332;0.201551;0.201551;0.201551;0.000000;3410;84;584045;1566.866206;3114;7633;10078;64;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;15504.724041
0.117022;427268.614540;0.117022;0.117022;0.117022;0.000000;2360;1170;38097;458.693193;2290;3397;5945;1;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;1669.018026
0.116262;860126.037193;0.116262;0.116262;0.116262;0.000000;1944;642;40876;645.019678;1953;3382;5773;2;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;3359.867333
0.116076;1723014.688847;0.116076;0.116076;0.116076;0.000000;1936;755;37828;613.859353;1984;3222;5858;4;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;6730.526128
0.120210;3327519.297511;0.120210;0.120210;0.120210;0.000000;1957;882;38925;607.271928;1942;3351;5794;8;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;12998.122256
0.157268;5086855.352756;0.157268;0.157268;0.157268;0.000000;2742;993;44684;701.914690;2664;4585;6847;16;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;19870.528722
0.264413;6051134.568065;0.264413;0.264413;0.264413;0.000000;4963;979;59028;1102.292198;4835;7868;10046;32;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;23637.244407
0.541572;5908724.109095;0.541572;0.541572;0.541572;0.000000;9410;1128;775603;3532.454507;8580;17685;21159;64;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;23080.953551
