pmcpy_pmem_memcpy_persist: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.014497;3449035.601359;0.014497;0.014497;0.014497;0.000000;310;137;17216;164.441194;291;585;790;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;210.512427
0.014878;6721162.298662;0.014878;0.014878;0.014878;0.000000;268;127;18584;155.966918;272;538;758;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;410.227191
0.014210;14074931.133121;0.014210;0.014210;0.014210;0.000000;262;108;19527;211.934029;254;531;685;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;859.065621
0.013937;28700002.532775;0.013937;0.013937;0.013937;0.000000;251;102;33045;160.111328;234;532;645;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1751.709139
0.014530;55057620.552790;0.014530;0.014530;0.014530;0.000000;265;93;44741;190.290055;253;558;682;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;3360.450473
0.014555;109930057.687859;0.014555;0.014555;0.014555;0.000000;269;85;57645;227.475448;251;566;687;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;6709.598248
0.024139;132565986.169556;0.024139;0.024139;0.024139;0.000000;356;48;66085;317.594484;319;766;1030;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;8091.185679
0.025012;1999070.192472;0.025012;0.025012;0.025012;0.000000;521;183;21059;265.804754;502;898;1156;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;488.054246
0.024999;4000239.054286;0.024999;0.024999;0.024999;0.000000;518;108;17651;223.586905;503;883;1098;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;976.620863
0.025429;7865064.746983;0.025429;0.025429;0.025429;0.000000;455;104;31591;241.392932;431;882;1116;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1920.181823
