pmcpy_pmem_memcpy_nodrain: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.010674;4684207.148756;0.010674;0.010674;0.010674;0.000000;234;84;13670;142.923257;250;441;609;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;285.901315
0.010799;9260011.206466;0.010799;0.010799;0.010799;0.000000;212;113;17830;129.599732;191;412;572;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;565.186231
0.011030;18133018.930962;0.011030;0.011030;0.011030;0.000000;217;107;20438;133.085303;196;433;601;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1106.751644
0.011445;34949457.405305;0.011445;0.011445;0.011445;0.000000;231;121;34377;163.199216;226;490;635;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2133.145594
0.011656;68634344.694720;0.011656;0.011656;0.011656;0.000000;233;122;38929;177.660107;227;515;641;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4189.107953
0.012218;130950460.540493;0.012218;0.012218;0.012218;0.000000;240;120;68160;206.553687;232;531;661;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;7992.581820
0.016588;192907479.221905;0.016588;0.016588;0.016588;0.000000;291;42;65530;269.160254;279;682;941;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;11774.138136
0.018969;2635846.382662;0.018969;0.018969;0.018969;0.000000;400;108;17233;212.038365;376;795;1046;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;643.517183
0.018403;5433995.565316;0.018403;0.018403;0.018403;0.000000;337;110;34752;249.795084;302;738;981;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1326.659074
0.019516;10248261.574579;0.019516;0.019516;0.019516;0.000000;362;108;18814;208.612146;333;785;1038;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2502.016986
0.020267;19736388.947385;0.020267;0.020267;0.020267;0.000000;365;111;21877;208.467772;332;799;1049;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4818.454333
0.021125;37870329.813176;0.021125;0.021125;0.021125;0.000000;393;74;40002;228.630812;360;844;1124;16;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;9245.685990
0.025406;62977579.155240;0.025406;0.025406;0.025406;0.000000;468;60;52943;319.039721;426;1072;1444;32;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;15375.385536
0.042463;75360120.700537;0.042463;0.042463;0.042463;0.000000;749;57;61869;474.242730;686;1767;2739;64;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;18398.466968
0.052265;956663.579896;0.052265;0.052265;0.052265;0.000000;1066;265;17663;338.471084;1058;1699;4203;1;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;934.241777
0.045037;2220412.043639;0.045037;0.045037;0.045037;0.000000;807;151;20081;347.912792;761;1561;2081;2;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2168.371136
0.045862;4360910.620062;0.045862;0.045862;0.045862;0.000000;784;146;18978;316.435835;748;1504;2017;4;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4258.701777
0.049808;8030810.042110;0.049808;0.049808;0.049808;0.000000;854;146;38450;359.495882;813;1652;2349;8;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;7842.587932
0.060090;13313424.659987;0.060090;0.060090;0.060090;0.000000;1067;142;43511;426.466932;1019;2113;3950;16;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;13001.391270
0.094918;16856687.184767;0.094918;0.094918;0.094918;0.000000;1764;137;52259;688.572660;1660;3670;5636;32;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;16461.608579
0.240409;13310642.016356;0.240409;0.240409;0.240409;0.000000;3990;127;13024802;45852.640063;3890;7522;9951;64;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;12998.673844
0.085770;582957.145258;0.085770;0.085770;0.085770;0.000000;1736;1118;19817;416.959610;1659;2572;5352;1;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2277.176349
0.079775;1253521.392295;0.079775;0.079775;0.079775;0.000000;1446;650;40816;419.758911;1444;2249;5410;2;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4896.567939
0.084860;2356834.445154;0.084860;0.084860;0.084860;0.000000;1430;674;42530;520.649332;1364;2397;5827;4;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;9206.384551
0.097885;4086448.532657;0.097885;0.097885;0.097885;0.000000;1694;722;37433;470.188471;1651;2702;5575;8;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;15962.689581
0.139366;5740270.772016;0.139366;0.139366;0.139366;0.000000;2571;810;48047;618.642583;2518;4071;6813;16;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;22422.932703
0.246596;6488351.966589;0.246596;0.246596;0.246596;0.000000;4842;843;63700;1093.519250;4829;7557;9971;32;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;25345.124869
0.564028;5673481.860514;0.564028;0.564028;0.564028;0.000000;9936;1002;1094390;3955.525258;9297;19806;23802;64;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;22162.038518
pmcpy_libc_memcpy_persist: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.013234;3778142.057839;0.013234;0.013234;0.013234;0.000000;285;72;14355;165.268897;270;578;821;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;230.599491
0.012968;7711223.917749;0.012968;0.012968;0.012968;0.000000;237;98;18447;178.842654;206;521;737;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;470.655757
0.012939;15457563.192451;0.012939;0.012939;0.012939;0.000000;239;94;13943;142.362822;220;539;732;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;943.454785
0.012977;30822660.666008;0.012977;0.012977;0.012977;0.000000;234;71;19807;147.025015;220;537;723;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;1881.265910
0.013616;58755541.473811;0.013616;0.013616;0.013616;0.000000;242;75;31646;159.274365;225;561;747;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;3586.153654
0.013769;116207039.982267;0.013769;0.013769;0.013769;0.000000;255;99;30390;179.810417;236;576;765;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;7092.714843
0.023671;135184453.483684;0.023671;0.023671;0.023671;0.000000;334;33;62787;265.489639;305;749;1007;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;8251.004241
0.019047;2625039.559346;0.019047;0.019047;0.019047;0.000000;401;118;20141;222.422371;373;816;1107;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;640.878799
0.017868;5596599.148175;0.017868;0.017868;0.017868;0.000000;334;92;19200;174.882818;296;671;897;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;1366.357214
0.020711;9656601.124579;0.020711;0.020711;0.020711;0.000000;381;88;23666;198.884619;353;814;1087;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;2357.568634
0.021469;18631150.725078;0.021469;0.021469;0.021469;0.000000;377;97;37579;206.475660;355;748;1006;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;4548.620782
0.022207;36025444.230879;0.022207;0.022207;0.022207;0.000000;387;90;38246;209.592398;360;779;1047;16;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;8795.274470
0.024235;66019507.691706;0.024235;0.024235;0.024235;0.000000;440;61;52927;257.788918;405;918;1271;32;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;16118.043870
0.043390;73750520.978290;0.043390;0.043390;0.043390;0.000000;704;51;83889;492.188442;627;1744;2615;64;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;18005.498286
0.050618;987788.621216;0.050618;0.050618;0.050618;0.000000;1033;125;38117;444.780741;958;2145;4678;1;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;964.637325
0.045422;2201577.152631;0.045422;0.045422;0.045422;0.000000;807;86;39564;375.374272;783;1644;2526;2;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;2149.977688
0.042920;4659882.514576;0.042920;0.042920;0.042920;0.000000;764;69;23898;300.950645;743;1499;2205;4;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;4550.666518
0.049118;8143631.011753;0.049118;0.049118;0.049118;0.000000;825;71;43315;368.661992;800;1679;2641;8;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;7952.764660
0.059691;13402253.977672;0.059691;0.059691;0.059691;0.000000;1059;211;43990;410.469389;1015;2159;4135;16;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;13088.138650
0.098141;16303021.322783;0.098141;0.098141;0.098141;0.000000;1857;87;54018;627.153729;1779;3833;5735;32;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;15920.919261
0.197507;16201962.567016;0.197507;0.197507;0.197507;0.000000;3388;85;92077;1446.225303;3170;7213;9754;64;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;15822.229069
0.116690;428487.475632;0.116690;0.116690;0.116690;0.000000;2354;1233;40288;459.556995;2290;3452;5545;1;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;1673.779202
0.111975;893056.669259;0.111975;0.111975;0.111975;0.000000;1919;670;40429;593.021025;1926;3176;5792;2;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;3488.502614
0.114417;1747995.599666;0.114417;0.114417;0.114417;0.000000;1760;770;48261;662.952057;1617;3201;6747;4;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;6828.107811
0.121168;3301194.935181;0.121168;0.121168;0.121168;0.000000;1964;710;40902;631.946388;1944;3386;5991;8;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;12895.292716
0.156789;5102412.173008;0.156789;0.156789;0.156789;0.000000;2745;1028;53543;704.201275;2673;4556;6904;16;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;19931.297551
0.264294;6053862.951599;0.264294;0.264294;0.264294;0.000000;4964;826;45593;1092.324718;4835;7880;10160;32;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;23647.902155
0.541628;5908117.590357;0.541628;0.541628;0.541628;0.000000;9422;1011;744880;3497.781793;8733;17771;21196;64;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;23078.584337
