pmcpy_pmem_memcpy_persist: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.011267;4437902.384609;0.011267;0.011267;0.011267;0.000000;245;122;34746;213.246427;255;480;648;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;270.868065
0.010498;9525382.572703;0.010498;0.010498;0.010498;0.000000;221;103;33735;215.770762;233;396;587;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;581.383214
0.010749;18606473.731799;0.010749;0.010749;0.010749;0.000000;211;122;36124;154.589378;189;410;601;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1135.649031
0.011142;35899398.397882;0.011142;0.011142;0.011142;0.000000;215;83;36464;148.923554;215;470;622;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;2191.125390
0.011697;68392722.296224;0.011697;0.011697;0.011697;0.000000;231;122;45968;181.115530;224;511;641;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;4174.360492
0.012165;131523871.747127;0.012165;0.012165;0.012165;0.000000;239;87;51577;228.928394;230;533;667;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;8027.580063
0.016172;197868572.108038;0.016172;0.016172;0.016172;0.000000;289;43;66192;295.638653;276;679;938;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;12076.939216
0.014785;3381845.684217;0.014785;0.014785;0.014785;0.000000;315;102;18613;216.722116;312;661;907;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;825.645919
0.015414;6487482.823578;0.015414;0.015414;0.015414;0.000000;293;126;14498;182.732800;269;641;877;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1583.858111
0.017977;11125506.898955;0.017977;0.017977;0.017977;0.000000;344;104;18505;212.521763;315;752;1011;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;2716.188208
0.019545;20465461.336267;0.019545;0.019545;0.019545;0.000000;368;102;40549;225.030057;331;794;1049;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;4996.450522
0.021215;37708940.525836;0.021215;0.021215;0.021215;0.000000;396;84;44549;246.531698;360;843;1123;16;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;9206.284308
0.025564;62588986.380363;0.025564;0.025564;0.025564;0.000000;467;82;62213;321.840035;421;1062;1413;32;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;15280.514253
0.041014;78021786.852524;0.041014;0.041014;0.041014;0.000000;744;55;271215;514.421172;680;1784;2759;64;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;19048.287806
0.040038;1248814.656349;0.040038;0.040038;0.040038;0.000000;820;90;18072;345.922001;799;1503;3623;1;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1219.545563
0.036904;2709766.992014;0.036904;0.036904;0.036904;0.000000;688;124;20717;327.516634;649;1390;1785;2;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;2646.256828
0.037556;5325435.499470;0.037556;0.037556;0.037556;0.000000;692;116;36445;327.866023;657;1348;1859;4;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;5200.620605
0.041286;9688606.257173;0.041286;0.041286;0.041286;0.000000;737;93;28764;320.118704;697;1467;2025;8;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;9461.529548
0.054995;14546830.675636;0.054995;0.054995;0.054995;0.000000;1008;93;47662;432.321426;959;2012;3877;16;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;14205.889332
0.094118;16999945.462050;0.094118;0.094118;0.094118;0.000000;1780;97;66788;721.396477;1676;3709;5854;32;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;16601.509240
0.198723;16102851.650980;0.198723;0.198723;0.198723;0.000000;3356;96;114613;1443.056463;3148;7248;9887;64;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;15725.441065
0.064762;772063.350886;0.064762;0.064762;0.064762;0.000000;1315;268;38907;405.951987;1268;2091;4729;1;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;3015.872464
