pmcpy_pmem_memcpy_nodrain: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.011499;4348023.449412;0.011499;0.011499;0.011499;0.000000;249;109;25771;205.481734;264;473;645;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;265.382291
0.010840;9225472.674012;0.010840;0.010840;0.010840;0.000000;209;120;35228;170.974453;187;417;584;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;563.078166
0.010999;18182856.257612;0.010999;0.010999;0.010999;0.000000;217;120;35961;204.058220;195;421;612;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1109.793473
0.011297;35406909.481351;0.011297;0.011297;0.011297;0.000000;218;120;41657;195.602249;217;474;624;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2161.066253
0.011208;71376925.124892;0.011208;0.011208;0.011208;0.000000;224;75;42481;206.996775;221;505;633;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4356.501778
0.012240;130723429.176211;0.012240;0.012240;0.012240;0.000000;240;119;43258;179.115739;230;533;662;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;7978.724925
0.015783;202753326.817771;0.015783;0.015783;0.015783;0.000000;285;41;63490;301.242029;272;669;925;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;12375.080983
0.015582;3208835.232600;0.015582;0.015582;0.015582;0.000000;331;103;36666;240.352356;326;660;892;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;783.407039
0.015197;6580042.599196;0.015197;0.015197;0.015197;0.000000;313;122;34972;237.263573;302;640;866;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1606.455713
0.017367;11516053.291919;0.017367;0.017367;0.017367;0.000000;332;92;36554;223.403813;300;727;970;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2811.536448
0.019509;20503438.349723;0.019509;0.019509;0.019509;0.000000;359;89;37815;226.708590;322;783;1046;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;5005.722253
0.020921;38239802.759097;0.020921;0.020921;0.020921;0.000000;384;72;27987;226.746091;351;835;1122;16;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;9335.889345
0.025364;63082301.389021;0.025364;0.025364;0.025364;0.000000;469;65;58210;342.306020;423;1057;1397;32;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;15400.952488
0.041559;76999358.114101;0.041559;0.041559;0.041559;0.000000;761;52;57642;475.654144;697;1821;2858;64;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;18798.671415
0.039920;1252493.997360;0.039920;0.039920;0.039920;0.000000;818;88;26859;372.821583;793;1498;3799;1;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1223.138669
0.036023;2776023.639285;0.036023;0.036023;0.036023;0.000000;692;88;22822;347.456940;657;1393;1824;2;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2710.960585
0.037755;5297338.834161;0.037755;0.037755;0.037755;0.000000;698;91;35551;317.271537;666;1380;1878;4;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;5173.182455
0.040652;9839655.919040;0.040652;0.040652;0.040652;0.000000;739;90;42166;336.814844;697;1493;2041;8;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;9609.038983
0.054758;14609780.879402;0.054758;0.054758;0.054758;0.000000;1015;93;44843;427.481530;968;2001;3783;16;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;14267.364140
0.100350;15944142.248694;0.100350;0.100350;0.100350;0.000000;1879;95;66494;782.194741;1771;3923;6098;32;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;15570.451415
