pmcpy_pmem_memcpy_persist: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.013383;3736094.815511;0.013383;0.013383;0.013383;0.000000;287;75;19526;197.881267;270;627;892;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;228.033131
0.013714;7291924.922341;0.013714;0.013714;0.013714;0.000000;245;111;21440;189.542701;218;572;832;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;445.063777
0.013262;15080292.756739;0.013262;0.013262;0.013262;0.000000;239;112;21198;162.414493;216;532;724;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;920.428025
0.013291;30095736.795928;0.013291;0.013291;0.013291;0.000000;233;103;36694;169.455320;214;545;727;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1836.897998
0.013445;59499735.151804;0.013445;0.013445;0.013445;0.000000;243;77;26537;172.976544;221;567;755;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;3631.575632
0.014177;112856340.367951;0.014177;0.014177;0.014177;0.000000;254;112;62254;224.920695;232;578;758;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;6888.204368
0.023491;136223287.677531;0.023491;0.023491;0.023491;0.000000;333;45;67885;307.687633;306;746;1004;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;8314.409648
0.021171;2361744.760670;0.021171;0.021171;0.021171;0.000000;443;87;13714;184.532993;415;768;1170;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;576.597842
0.020295;4927226.102276;0.020295;0.020295;0.020295;0.000000;350;76;24953;197.046851;364;694;927;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1202.936060
0.021033;9509025.253594;0.021033;0.021033;0.021033;0.000000;359;117;38286;217.902356;364;710;962;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;2321.539369
0.020987;19059749.216585;0.020987;0.020987;0.020987;0.000000;339;87;41068;220.162987;281;685;862;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;4653.259086
0.021792;36710569.601657;0.021792;0.021792;0.021792;0.000000;352;75;78001;235.530579;301;706;918;16;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;8962.541407
0.023223;68896576.120059;0.023223;0.023223;0.023223;0.000000;386;55;53811;273.868592;377;813;1108;32;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;16820.453154
0.041945;76290311.144789;0.041945;0.041945;0.041945;0.000000;626;46;81651;417.727446;558;1559;2356;64;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;18625.564244
0.049644;1007165.843977;0.049644;0.049644;0.049644;0.000000;1012;96;20486;381.039714;1020;1685;4182;1;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;983.560395
0.047538;2103599.365798;0.047538;0.047538;0.047538;0.000000;764;74;37760;385.170595;706;1556;2147;2;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;2054.296256
