pmcpy_pmem_memcpy_nodrain: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.013556;3688507.326740;0.013556;0.013556;0.013556;0.000000;291;110;23992;211.743929;271;616;893;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;225.128621
0.013283;7528275.827595;0.013283;0.013283;0.013283;0.000000;235;76;19092;185.734078;206;531;778;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;459.489491
0.013495;14820791.436191;0.013495;0.013495;0.013495;0.000000;241;110;19318;170.941971;217;542;732;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;904.589321
0.013409;29831222.401458;0.013409;0.013409;0.013409;0.000000;232;108;19923;150.670107;211;537;722;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1820.753320
0.013699;58399578.530242;0.013699;0.013699;0.013699;0.000000;247;108;45099;185.733275;224;573;760;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;3564.427401
0.013398;119419302.742039;0.013398;0.013398;0.013398;0.000000;246;90;54997;217.337468;226;568;751;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;7288.775802
0.023056;138790043.150258;0.023056;0.023056;0.023056;0.000000;334;40;61858;303.585977;307;752;1012;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;8471.071970
0.020911;2391066.478295;0.020911;0.020911;0.020911;0.000000;438;92;21183;216.441985;407;762;1152;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;583.756464
0.021537;4643266.430210;0.021537;0.021537;0.021537;0.000000;363;107;21785;237.948201;379;713;1037;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1133.609968
0.021406;9343222.823251;0.021406;0.021406;0.021406;0.000000;364;103;32269;216.063314;370;715;1006;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2281.060260
0.021261;18813580.790243;0.021261;0.021261;0.021261;0.000000;345;85;41357;226.812133;285;695;895;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4593.159373
0.021409;37366839.181578;0.021409;0.021409;0.021409;0.000000;355;83;42690;221.953348;355;711;941;16;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;9122.763472
0.023561;67908048.427946;0.023561;0.023561;0.023561;0.000000;398;73;50878;286.610778;388;833;1153;32;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;16579.113386
0.041815;76527371.544980;0.041815;0.041815;0.041815;0.000000;618;45;70135;451.335925;550;1509;2276;64;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;18683.440319
0.049691;1006215.716470;0.049691;0.049691;0.049691;0.000000;1013;77;36621;383.113894;1021;1710;4420;1;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;982.632536
0.048466;2063287.336262;0.048466;0.048466;0.048466;0.000000;786;91;37270;404.849206;731;1595;2381;2;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2014.929039
0.048579;4116997.408741;0.048579;0.048579;0.048579;0.000000;689;51;39626;346.629283;633;1503;2125;4;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4020.505282
0.050176;7971904.775438;0.050176;0.050176;0.050176;0.000000;760;61;37359;365.851151;696;1586;2145;8;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;7785.063257
0.055915;14307418.128035;0.055915;0.055915;0.055915;0.000000;875;53;49716;435.803040;803;1850;2832;16;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;13972.088016
0.083077;19259190.889132;0.083077;0.083077;0.083077;0.000000;1385;57;62783;679.874299;1248;3474;5192;32;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;18807.803603
0.173134;18482836.055806;0.173134;0.173134;0.173134;0.000000;2779;60;75727;1319.222024;2503;6911;9916;64;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;18049.644586
0.144516;345982.700754;0.144516;0.144516;0.144516;0.000000;2910;1903;36430;428.514731;2877;3832;6225;1;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1351.494925
0.141972;704366.428772;0.141972;0.141972;0.141972;0.000000;2241;1003;21235;727.882799;2260;3621;6326;2;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2751.431362
0.145162;1377772.750438;0.145162;0.145162;0.145162;0.000000;1969;889;47968;719.235310;1715;3594;6772;4;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;5381.924806
0.153553;2604964.895070;0.153553;0.153553;0.153553;0.000000;2216;934;62718;802.228038;1904;3856;6821;8;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;10175.644121
0.168980;4734299.344232;0.168980;0.168980;0.168980;0.000000;2423;921;58605;852.536276;2145;4461;7906;16;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;18493.356813
0.279916;5716006.660991;0.279916;0.279916;0.279916;0.000000;4700;1252;54354;1670.480942;4092;9463;11587;32;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;22328.151019
