pmcpy_pmem_memcpy_persist: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.013533;3694578.368805;0.013533;0.013533;0.013533;0.000000;289;70;19169;185.815011;272;578;867;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;225.499168
0.014215;7034903.038283;0.014215;0.014215;0.014215;0.000000;250;100;20398;180.687016;229;542;798;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;429.376406
0.013967;14319532.931203;0.013967;0.013967;0.013967;0.000000;249;110;78717;258.962437;231;515;713;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;873.994930
0.014049;28472054.998330;0.014049;0.014049;0.014049;0.000000;241;71;37041;199.930168;217;531;712;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1737.796326
0.013821;57883932.729898;0.013821;0.013821;0.013821;0.000000;256;48;40915;212.106463;240;560;752;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;3532.954879
0.014188;112767994.018786;0.014188;0.014188;0.014188;0.000000;257;44;58180;229.031205;238;558;745;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;6882.812135
0.024066;132965379.347111;0.024066;0.024066;0.024066;0.000000;339;39;286502;417.939238;311;753;1015;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;8115.562704
0.020905;2391786.375973;0.020905;0.020905;0.020905;0.000000;437;112;21981;214.660238;406;757;1083;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;583.932221
0.020869;4791687.610335;0.020869;0.020869;0.020869;0.000000;353;106;20894;200.281600;371;700;993;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1169.845608
0.021384;9352602.562744;0.021384;0.021384;0.021384;0.000000;367;106;36416;211.272687;368;732;1010;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;2283.350235
0.021385;18704703.054422;0.021385;0.021385;0.021385;0.000000;360;100;19815;206.566038;376;708;918;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;4566.577894
