pmcpy_pmem_memcpy_nodrain: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.010425;4796054.957035;0.010425;0.010425;0.010425;0.000000;227;108;10288;124.837635;234;456;618;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;292.727964
0.010119;9882437.534842;0.010119;0.010119;0.010119;0.000000;194;107;17336;136.724538;172;400;572;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;603.176119
0.010432;19171678.063430;0.010432;0.010432;0.010432;0.000000;202;108;38129;177.902520;182;415;602;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1170.146366
0.010728;37286556.602345;0.010728;0.010728;0.010728;0.000000;204;72;36984;151.376986;204;460;610;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2275.790808
0.011006;72688047.613579;0.011006;0.011006;0.011006;0.000000;215;98;45707;203.236620;209;505;634;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4436.526344
0.011520;138883258.812338;0.011520;0.011520;0.011520;0.000000;225;106;55009;188.597181;215;525;662;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;8476.761402
0.016372;195457196.065129;0.016372;0.016372;0.016372;0.000000;279;37;64160;293.211297;268;669;927;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;11929.760502
0.013186;3791801.578967;0.013186;0.013186;0.013186;0.000000;282;77;19882;217.559657;301;551;778;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;925.732807
0.013122;7620934.126855;0.013122;0.013122;0.013122;0.000000;248;116;39661;229.942724;223;555;696;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1860.579621
0.014132;14152404.698768;0.014132;0.014132;0.014132;0.000000;271;75;21737;182.594822;261;587;708;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;3455.176928
0.013647;29310509.825542;0.013647;0.013647;0.013647;0.000000;268;98;22700;168.905468;257;591;693;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;7155.886188
0.014748;54242848.487248;0.014748;0.014748;0.014748;0.000000;287;73;52124;217.727102;275;621;754;16;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;13242.882931
0.018827;84983721.633695;0.018827;0.018827;0.018827;0.000000;358;73;64341;309.115615;330;802;1099;32;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;20747.978914
0.036872;86786658.080935;0.036872;0.036872;0.036872;0.000000;630;36;70082;496.736991;544;1825;2976;64;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;21188.148946
0.042252;1183381.844494;0.042252;0.042252;0.042252;0.000000;864;53;17341;330.316389;872;1417;4148;1;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1155.646333
0.040037;2497691.134315;0.040037;0.040037;0.040037;0.000000;668;47;38865;343.829091;625;1302;1661;2;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2439.151498
0.040301;4962615.131430;0.040301;0.040301;0.040301;0.000000;605;71;19762;283.240463;563;1229;1685;4;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4846.303839
0.044120;9066136.080119;0.044120;0.044120;0.044120;0.000000;685;51;58074;343.700153;628;1339;1739;8;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;8853.648516
0.050753;15762515.634445;0.050753;0.050753;0.050753;0.000000;823;60;43877;391.158842;765;1631;2329;16;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;15393.081674
0.078436;20398732.754226;0.078436;0.078436;0.078436;0.000000;1359;53;66756;603.448331;1247;2974;5178;32;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;19920.637455
0.170292;18791263.375570;0.170292;0.170292;0.170292;0.000000;2758;57;78350;1303.379280;2535;6745;10156;64;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;18350.843140
0.140609;355595.101524;0.140609;0.140609;0.140609;0.000000;2831;1742;21839;369.012549;2802;3589;5939;1;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1389.043365
0.138721;720870.090199;0.138721;0.138721;0.138721;0.000000;2200;899;24970;729.064416;2219;3446;6878;2;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2815.898790
0.145131;1378069.834874;0.145131;0.145131;0.145131;0.000000;2026;965;44275;684.785141;1805;3634;6558;4;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;5383.085292
0.147290;2715728.861332;0.147290;0.147290;0.147290;0.000000;2162;915;48971;729.011591;1857;3615;6110;8;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;10608.315865
0.168467;4748708.299404;0.168467;0.168467;0.168467;0.000000;2596;982;58523;838.144143;2359;4459;7067;16;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;18549.641795
0.276768;5781009.548392;0.276768;0.276768;0.276768;0.000000;4751;1276;58543;1613.081501;4215;9219;11228;32;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;22582.068548
0.607515;5267359.029407;0.607515;0.607515;0.607515;0.000000;9921;1273;882879;4012.759423;9498;22080;27391;64;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;20575.621209
pmcpy_libc_memcpy_persist: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.013770;3630955.229523;0.013770;0.013770;0.013770;0.000000;294;107;39652;268.329465;272;676;942;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;221.615920
0.013189;7582143.808702;0.013189;0.013189;0.013189;0.000000;240;91;19222;169.999286;211;556;796;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;462.777332
0.013444;14876128.707671;0.013444;0.013444;0.013444;0.000000;241;73;33979;205.572592;217;531;732;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;907.966840
0.013355;29951773.152459;0.013355;0.013355;0.013355;0.000000;235;69;36207;167.478481;218;541;729;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;1828.111154
0.014109;56701914.703168;0.014109;0.014109;0.014109;0.000000;254;107;39363;171.673782;230;578;766;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;3460.810224
0.013858;115456967.492441;0.013858;0.013858;0.013858;0.000000;253;68;61468;240.240700;231;577;759;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;7046.934051
0.024060;132998935.218837;0.024060;0.024060;0.024060;0.000000;345;37;64081;317.546774;313;765;1024;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;8117.610792
0.019069;2622124.669861;0.019069;0.019069;0.019069;0.000000;400;117;18805;226.269875;375;902;1237;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;640.167156
0.019715;5072316.009345;0.019715;0.019715;0.019715;0.000000;356;116;22113;211.242205;339;731;994;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;1238.358401
0.021564;9274579.920655;0.021564;0.021564;0.021564;0.000000;387;107;34478;224.910754;359;842;1113;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;2264.301738
0.022088;18109435.590917;0.022088;0.022088;0.022088;0.000000;381;78;44370;231.025285;357;760;1019;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;4421.248924
0.022261;35937365.305070;0.022261;0.022261;0.022261;0.000000;395;56;42773;218.331373;362;788;1066;16;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;8773.770826
0.024892;64276473.681777;0.024892;0.024892;0.024892;0.000000;447;73;68135;311.901260;412;933;1294;32;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;15692.498457
0.044003;72722836.634238;0.044003;0.044003;0.044003;0.000000;710;48;69003;474.701963;633;1756;2644;64;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;17754.598788
0.048145;1038531.060127;0.048145;0.048145;0.048145;0.000000;981;117;20506;349.362047;933;1884;4195;1;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;1014.190488
0.041728;2396469.865686;0.041728;0.041728;0.041728;0.000000;775;91;19962;305.285581;752;1562;2326;2;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;2340.302603
0.047244;4233372.355854;0.047244;0.047244;0.047244;0.000000;777;64;41982;359.538143;748;1600;2506;4;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;4134.152691
0.048777;8200596.093129;0.048777;0.048777;0.048777;0.000000;821;69;54634;357.031267;795;1661;2629;8;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;8008.394622
0.059821;13373322.017943;0.059821;0.059821;0.059821;0.000000;1062;54;47915;430.385591;1019;2151;4408;16;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;13059.884783
0.095574;16740897.725409;0.095574;0.095574;0.095574;0.000000;1823;62;72119;697.995512;1744;3758;6290;32;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;16348.532935
0.198024;16159649.662835;0.198024;0.198024;0.198024;0.000000;3387;62;93738;1509.221528;3083;7440;10000;64;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;15780.907874
0.116605;428799.774252;0.116605;0.116605;0.116605;0.000000;2351;1151;41467;457.432042;2278;3425;5760;1;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;1674.999118
0.113826;878533.825441;0.113826;0.113826;0.113826;0.000000;1914;598;42706;623.544777;1943;3258;5898;2;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;3431.772756
0.115608;1729983.455649;0.115608;0.115608;0.115608;0.000000;1769;725;41026;674.446329;1620;3233;7129;4;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;6757.747874
0.121677;3287396.919869;0.121677;0.121677;0.121677;0.000000;1977;853;60410;632.911310;1977;3365;5867;8;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;12841.394218
0.152994;5228963.569092;0.152994;0.152994;0.152994;0.000000;2661;952;61384;685.609198;2573;4453;6494;16;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;20425.638942
0.264546;6048098.432681;0.264546;0.264546;0.264546;0.000000;4976;960;77495;1105.513368;4850;7862;9704;32;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;23625.384503
0.549524;5823224.169165;0.549524;0.549524;0.549524;0.000000;9446;1020;158482;3580.472536;8543;18192;21694;64;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;22746.969411
