pmcpy_pmem_memcpy_persist: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.013667;3658343.228542;0.013667;0.013667;0.013667;0.000000;293;72;37947;238.405845;273;657;949;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;223.287551
0.014048;7118642.064924;0.014048;0.014048;0.014048;0.000000;248;110;37985;213.035269;224;527;784;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;434.487431
0.013915;14372563.580987;0.013915;0.013915;0.013915;0.000000;247;73;38373;226.566437;229;515;722;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;877.231664
0.013801;28983220.092270;0.013801;0.013801;0.013801;0.000000;249;72;37327;192.927400;230;528;723;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1768.995367
0.013798;57977404.611044;0.013798;0.013798;0.013798;0.000000;251;95;75409;196.009975;233;551;738;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;3538.659949
0.014215;112561014.225391;0.014215;0.014215;0.014215;0.000000;255;94;109707;251.166068;235;556;746;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;6870.179091
0.023378;136878860.839369;0.023378;0.023378;0.023378;0.000000;340;39;161936;318.418973;315;752;1013;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;8354.422659
0.020983;2382934.755723;0.020983;0.020983;0.020983;0.000000;439;84;36888;256.510617;408;801;1188;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;581.771181
0.020899;4784895.043327;0.020899;0.020899;0.020899;0.000000;358;88;67959;286.995487;361;705;966;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1168.187266
0.021429;9333306.515633;0.021429;0.021429;0.021429;0.000000;362;108;81855;300.788852;365;717;968;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;2278.639286
0.020975;19070477.284940;0.020975;0.020975;0.020975;0.000000;343;42;41501;207.330810;297;687;859;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;4655.878243
0.021346;37477198.052891;0.021346;0.021346;0.021346;0.000000;361;47;115677;264.945826;357;707;922;16;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;9149.706556
0.023610;67768425.970301;0.023610;0.023610;0.023610;0.000000;395;53;166351;366.549123;389;826;1130;32;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;16545.025872
0.041794;76566562.028091;0.041794;0.041794;0.041794;0.000000;617;48;402664;636.180117;552;1483;2203;64;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;18693.008308
0.048765;1025324.132129;0.048765;0.048765;0.048765;0.000000;995;101;21679;346.914944;1005;1684;3865;1;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1001.293098
0.047566;2102354.826618;0.047566;0.047566;0.047566;0.000000;763;92;21851;381.165385;707;1576;2212;2;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;2053.080885
0.048529;4121228.576154;0.048529;0.048529;0.048529;0.000000;780;95;35126;373.965662;721;1581;2093;4;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;4024.637281
0.050077;7987722.391421;0.050077;0.050077;0.050077;0.000000;759;96;32887;360.346248;695;1589;2135;8;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;7800.510148
0.056332;14201501.411132;0.056332;0.056332;0.056332;0.000000;909;71;90271;454.720470;846;1879;3364;16;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;13868.653722
0.081993;19513754.794499;0.081993;0.081993;0.081993;0.000000;1355;54;110257;671.343724;1221;3408;5361;32;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;19056.401167
0.173228;18472773.495805;0.173228;0.173228;0.173228;0.000000;2791;64;453704;1309.092844;2575;6488;9342;64;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;18039.817867
0.143625;348129.425748;0.143625;0.143625;0.143625;0.000000;2892;1866;40551;508.252099;2856;3803;8774;1;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1359.880569
0.141939;704527.827740;0.141939;0.141939;0.141939;0.000000;2237;965;38803;741.579767;2237;3634;6298;2;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;2752.061827
0.146541;1364809.060312;0.146541;0.146541;0.146541;0.000000;1964;976;42804;690.568413;1704;3680;5984;4;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;5331.285392
0.150004;2666593.495341;0.150004;0.150004;0.150004;0.000000;2200;979;42481;739.201468;1902;3781;6042;8;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;10416.380841
0.170229;4699564.810899;0.170229;0.170229;0.170229;0.000000;2626;1006;45667;850.620444;2393;4574;6910;16;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;18357.675043
0.279915;5716027.346990;0.279915;0.279915;0.279915;0.000000;4715;1170;97811;1687.578010;4107;9493;11640;32;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;22328.231824
0.611431;5233622.993541;0.611431;0.611431;0.611431;0.000000;10161;1230;986711;3703.341465;9780;20721;25680;64;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;20443.839819
