pmcpy_pmem_memcpy_nodrain: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.011215;4458218.158982;0.011215;0.011215;0.011215;0.000000;244;109;20132;178.307296;255;476;656;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;272.108042
0.010499;9524796.474149;0.010499;0.010499;0.010499;0.000000;201;109;20201;145.641468;179;418;591;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;581.347441
0.010747;18609358.032046;0.010747;0.010747;0.010747;0.000000;207;108;19972;155.980437;187;420;602;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1135.825075
0.010673;37477227.899398;0.010673;0.010673;0.010673;0.000000;205;84;19869;151.944498;204;467;621;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2287.428461
0.011251;71102540.884850;0.011251;0.011251;0.011251;0.000000;218;108;41588;161.372032;211;509;638;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4339.754693
0.011283;141802285.781946;0.011283;0.011283;0.011283;0.000000;222;73;54653;202.138557;215;524;661;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;8654.924669
0.013654;234370491.114575;0.013654;0.013654;0.013654;0.000000;273;45;77447;315.100072;265;655;916;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;14304.839546
0.013034;3836008.194634;0.013034;0.013034;0.013034;0.000000;280;120;21416;208.072542;291;553;772;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;936.525438
0.012217;8185198.966635;0.012217;0.012217;0.012217;0.000000;239;78;26918;229.598643;220;547;704;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1998.339591
0.013680;14619373.286472;0.013680;0.013680;0.013680;0.000000;267;98;20963;187.874705;261;585;702;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;3569.182931
0.013570;29475842.152444;0.013570;0.013570;0.013570;0.000000;272;79;41899;197.589904;260;598;712;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;7196.250525
0.014726;54325553.348203;0.014726;0.014726;0.014726;0.000000;287;73;46955;212.303356;273;624;758;16;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;13263.074548
0.018602;86011965.447058;0.018602;0.018602;0.018602;0.000000;361;73;49987;241.745681;331;795;1073;32;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;20999.015002
0.036882;86762764.924341;0.036882;0.036882;0.036882;0.000000;624;33;13015995;7501.929130;533;1837;2967;64;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;21182.315655
0.042443;1178052.976713;0.042443;0.042443;0.042443;0.000000;868;89;36387;350.536185;875;1413;3676;1;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1150.442360
0.040010;2499403.704761;0.040010;0.040010;0.040010;0.000000;663;87;37020;339.370572;618;1298;1705;2;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2440.823930
0.039334;5084601.928803;0.039334;0.039334;0.039334;0.000000;605;53;44939;308.510605;565;1214;1576;4;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4965.431571
