pmcpy_pmem_memcpy_persist: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.014168;3528972.511422;0.014168;0.014168;0.014168;0.000000;303;72;18129;222.239352;281;714;1001;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;215.391389
0.014410;6939616.110152;0.014410;0.014410;0.014410;0.000000;307;73;22336;227.028139;291;577;799;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;423.560554
0.014402;13887291.850326;0.014402;0.014402;0.014402;0.000000;255;103;18829;193.417118;236;537;730;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;847.613028
0.013781;29026078.552841;0.013781;0.013781;0.013781;0.000000;236;94;27058;161.189633;215;522;708;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1771.611240
0.013454;59461662.353342;0.013454;0.013454;0.013454;0.000000;245;75;36305;177.843346;224;538;722;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;3629.251853
0.014116;113344790.602583;0.014116;0.014116;0.014116;0.000000;257;111;49683;194.773906;239;558;748;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;6918.017005
0.023275;137486343.202261;0.023275;0.023275;0.023275;0.000000;330;43;99046;302.894865;307;734;997;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;8391.500440
0.021108;2368748.476006;0.021108;0.021108;0.021108;0.000000;442;110;43318;253.683628;411;764;1093;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;578.307733
0.020605;4853220.415072;0.020605;0.020605;0.020605;0.000000;347;74;20839;193.598462;370;695;972;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;1184.868265
0.021241;9415593.418481;0.021241;0.021241;0.021241;0.000000;361;108;38998;224.038582;368;708;954;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;2298.728862
0.021105;18952761.379427;0.021105;0.021105;0.021105;0.000000;337;82;38586;223.528879;281;690;856;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;4627.139009
0.021498;37212876.492556;0.021498;0.021498;0.021498;0.000000;344;75;59770;215.417015;298;700;907;16;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;true;false;9085.174925
