pmcpy_pmem_memcpy_nodrain: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.010372;4820509.765051;0.010372;0.010372;0.010372;0.000000;227;85;17114;165.765722;236;484;658;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;294.220567
0.010350;9661673.320661;0.010350;0.010350;0.010350;0.000000;173;34;18902;149.632262;145;438;596;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;589.701741
0.010526;19001313.750833;0.010526;0.010526;0.010526;0.000000;184;41;18268;150.077439;170;413;602;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1159.748154
0.010520;38021252.359219;0.010520;0.010520;0.010520;0.000000;204;84;37218;148.843250;205;465;613;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2320.633079
0.011292;70845381.106971;0.011292;0.011292;0.011292;0.000000;217;108;54227;204.263975;211;506;635;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4324.058905
0.011570;138283705.616116;0.011570;0.011570;0.011570;0.000000;227;68;66279;230.743794;217;527;660;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;8440.167579
0.015995;200060430.753865;0.015995;0.015995;0.015995;0.000000;279;37;79993;277.564915;269;671;928;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;12210.719651
0.012920;3869826.467694;0.012920;0.012920;0.012920;0.000000;278;78;37236;246.758008;297;515;755;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;944.781852
0.012742;7848061.528802;0.012742;0.012742;0.012742;0.000000;242;116;36437;203.367596;219;525;686;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1916.030647
0.013920;14367465.162489;0.013920;0.013920;0.013920;0.000000;272;78;42239;236.146263;261;590;711;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;3507.681924
0.013914;28747364.495524;0.013914;0.013914;0.013914;0.000000;275;73;39417;198.952230;264;597;711;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;7018.399535
0.014876;53777951.510438;0.014876;0.014876;0.014876;0.000000;293;116;56648;218.200204;276;623;754;16;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;13129.382693
0.018688;85615732.832681;0.018688;0.018688;0.018688;0.000000;365;73;98260;320.798443;333;794;1078;32;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;20902.278524
0.036799;86958705.158793;0.036799;0.036799;0.036799;0.000000;624;38;141280;507.010746;541;1794;2926;64;50000;256;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;21230.152627
0.040835;1224428.244660;0.040835;0.040835;0.040835;0.000000;836;86;39661;346.155168;846;1379;3124;1;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1195.730708
0.038320;2609637.118476;0.038320;0.038320;0.038320;0.000000;646;62;20368;296.813636;611;1260;1633;2;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2548.473749
0.040232;4971215.790610;0.040232;0.040232;0.040232;0.000000;613;64;39756;313.118720;571;1231;1639;4;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;4854.702921
0.043673;9158991.622499;0.043673;0.043673;0.043673;0.000000;685;73;28412;320.121178;631;1337;1740;8;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;8944.327756
0.049930;16022515.479653;0.049930;0.049930;0.049930;0.000000;792;55;54764;382.108516;731;1591;2248;16;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;15646.987773
0.078559;20366825.623376;0.078559;0.078559;0.078559;0.000000;1360;53;76123;610.245903;1248;2981;4891;32;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;19889.478148
0.170357;18784028.809065;0.170357;0.170357;0.170357;0.000000;2748;56;93462;1416.296415;2403;7282;10045;64;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;18343.778134
0.140638;355521.996807;0.140638;0.140638;0.140638;0.000000;2832;1881;36435;460.358770;2799;3599;6996;1;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;1388.757800
0.139088;718971.849549;0.139088;0.139088;0.139088;0.000000;2204;948;23979;703.452269;2215;3466;6666;2;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;2808.483787
0.140693;1421533.305484;0.140693;0.140693;0.140693;0.000000;1942;916;45862;678.195833;1704;3399;6512;4;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;5552.864475
0.147408;2713552.733298;0.147408;0.147408;0.147408;0.000000;2173;941;42826;712.196209;1887;3614;6166;8;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;10599.815364
0.167514;4775720.523402;0.167514;0.167514;0.167514;0.000000;2598;966;61423;832.967641;2373;4446;6662;16;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;18655.158295
0.276921;5777827.871545;0.276921;0.276921;0.276921;0.000000;4750;1157;82073;1608.855737;4214;9195;11036;32;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;22569.640123
0.607289;5269315.792238;0.607289;0.607289;0.607289;0.000000;10007;1418;151339;3761.742826;9671;21373;26465;64;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;false;false;false;20583.264813
pmcpy_libc_memcpy_persist: pmem_memcpy [28] [group: pmem]
total-avg[sec];ops-per-second[1/sec];total-max[sec];total-min[sec];total-median[sec];total-std-dev[sec];latency-avg[nsec];latency-min[nsec];latency-max[nsec];latency-std-dev[nsec];latency-pctl-50.0%[nsec];latency-pctl-99.0%[nsec];latency-pctl-99.9%[nsec];threads;ops-per-thread;data-size;seed;repeats;thread-affinity;main-affinity;min-exe-time;operation;src-offset;dest-offset;src-mode;dest-mode;libc-memcpy;persist;no-warmup;bandwidth[MiB/s]
0.010705;4670825.881420;0.010705;0.010705;0.010705;0.000000;234;68;27316;212.939706;247;445;624;1;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;285.084587
0.010747;9304926.632980;0.010747;0.010747;0.010747;0.000000;207;90;28622;172.437049;186;404;597;2;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;567.927651
0.010976;18221313.707521;0.010976;0.010976;0.010976;0.000000;211;107;35575;161.804584;187;404;608;4;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;1112.140729
0.011002;36358556.081755;0.011002;0.011002;0.011002;0.000000;211;67;37665;153.516147;211;455;618;8;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;2219.150151
0.011217;71321188.464190;0.011217;0.011217;0.011217;0.000000;224;90;41345;165.063931;217;511;632;16;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;4353.099882
0.011866;134844604.235300;0.011866;0.011866;0.011866;0.000000;230;67;50698;172.128468;221;527;661;32;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;8230.261489
0.016110;198635535.264108;0.016110;0.016110;0.016110;0.000000;284;37;86206;321.768260;274;657;902;64;50000;64;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;12123.750932
0.013558;3687899.007623;0.013558;0.013558;0.013558;0.000000;291;78;17374;201.345066;301;560;783;1;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;900.365969
0.014142;7071066.623731;0.014142;0.014142;0.014142;0.000000;264;108;20628;189.554235;239;595;756;2;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;1726.334625
0.014607;13692295.105929;0.014607;0.014607;0.014607;0.000000;281;71;21190;190.738435;264;606;752;4;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;3342.845485
0.015443;25901919.403458;0.015443;0.015443;0.015443;0.000000;298;70;21117;179.476610;276;620;754;8;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;6323.710792
0.016583;48241375.723432;0.016583;0.016583;0.016583;0.000000;319;71;57544;236.545023;296;651;831;16;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;11777.679620
0.020784;76980538.453848;0.020784;0.020784;0.020784;0.000000;402;70;61935;282.892176;360;887;1223;32;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;18794.076771
0.038667;82757778.843284;0.038667;0.038667;0.038667;0.000000;673;38;73939;483.538234;600;1714;2544;64;50000;256;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;20204.535850
0.030244;1653223.534602;0.030244;0.030244;0.030244;0.000000;624;67;17907;303.959900;581;1377;2039;1;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;1614.476108
0.029590;3379565.907602;0.029590;0.029590;0.029590;0.000000;553;68;40159;323.794863;517;1225;1804;2;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;3300.357332
0.030326;6594985.331434;0.030326;0.030326;0.030326;0.000000;527;63;31725;275.782618;482;1162;1767;4;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;6440.415363
0.034620;11553879.190386;0.034620;0.034620;0.034620;0.000000;624;60;43867;325.429545;576;1380;2182;8;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;11283.085147
0.049504;16160230.952325;0.049504;0.049504;0.049504;0.000000;918;42;61247;431.651194;855;2082;3601;16;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;15781.475539
0.094528;16926146.609966;0.094528;0.094528;0.094528;0.000000;1794;45;57567;719.458381;1670;4110;6262;32;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;16529.440049
0.191922;16673468.834064;0.191922;0.191922;0.191922;0.000000;3277;49;99549;1589.148952;2959;7989;11181;64;50000;1024;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;16282.684408
0.060697;823763.141473;0.060697;0.060697;0.060697;0.000000;1233;91;40016;398.921740;1199;1996;4999;1;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;3217.824771
0.059856;1670674.894184;0.059856;0.059856;0.059856;0.000000;1093;94;40990;411.359992;1056;1915;4981;2;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;6526.073805
0.061901;3230970.793640;0.061901;0.061901;0.061901;0.000000;1047;92;40682;425.255108;986;1957;5306;4;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;12620.979663
0.080337;4979017.238839;0.080337;0.080337;0.080337;0.000000;1451;97;45944;463.901376;1394;2474;5209;8;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;19449.286089
0.133402;5996930.381230;0.133402;0.133402;0.133402;0.000000;2504;74;58906;696.105011;2427;4301;7119;16;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;23425.509302
0.260507;6141877.524360;0.260507;0.260507;0.260507;0.000000;4998;76;171722;1229.108857;4879;8406;13557;32;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;23991.709080
0.537485;5953655.052281;0.537485;0.537485;0.537485;0.000000;9089;73;219764;4118.271470;8181;20457;28468;64;50000;4096;0;1;false;-1;0;write;0;0;rand;rand;true;true;false;23256.465048
