thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 278053,0,0, 0,0,9992,116,28
1, 1, 289234,0,0, 0,0,9992,121,29
Idx: 51200, Prev_cap: 51200, Cur_cap: 102400,  Table:"history"
1, 1, 311271,0,0, 0,0,9991,130,31
4, 1, 717768,333478,0, 0,0,9995,227,67
4, 1, 700075,328510,0, 0,0,9995,222,65
4, 1, 709294,337779,0, 0,0,9995,225,66
8, 1, 825968,763907,0, 0,0,9997,258,76
8, 1, 818176,765802,0, 0,0,9997,255,75
8, 1, 808894,755915,0, 0,0,9997,252,74
16, 1, 784912,1177099,0, 0,0,10000,217,64
16, 1, 786387,1181684,0, 0,0,10000,217,64
16, 1, 709660,1086051,0, 0,0,9999,218,64
32, 1, 538179,1329857,0, 0,0,10003,146,43
32, 1, 563915,1396308,0, 0,0,10008,153,45
32, 1, 559435,1364318,0, 0,0,10007,152,44
48, 1, 432921,1492082,0, 0,0,10015,117,34
48, 1, 433919,1480379,0, 0,0,10016,116,34
48, 1, 427368,1463636,0, 0,0,10017,115,33
