thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 253472,0,0, 0,0,9991,106,25
1, 1, 263842,0,0, 0,0,9993,111,27
1, 1, 279217,0,0, 0,0,9992,117,28
4, 1, 651073,323547,0, 0,0,9995,206,61
4, 1, 676897,333053,0, 0,0,9995,214,63
4, 1, 661922,329124,0, 0,0,9996,210,62
8, 1, 792228,788935,0, 0,0,9997,247,73
8, 1, 776306,784999,0, 0,0,9997,242,71
8, 1, 769748,769787,0, 0,0,9998,241,71
16, 1, 674147,1157523,0, 0,0,10000,187,55
16, 1, 696564,1174099,0, 0,0,10001,193,57
16, 1, 701383,1209822,0, 0,0,10000,194,57
32, 1, 532483,1441665,0, 0,0,10002,146,43
32, 1, 524607,1413497,0, 0,0,10008,143,42
32, 1, 526265,1435491,0, 0,0,10006,144,42
48, 1, 389636,1486730,0, 0,0,10011,105,31
48, 1, 386239,1462833,0, 0,0,10015,104,30
48, 1, 374713,1453075,0, 0,0,10019,102,30
