thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 234625,12827,1015571, 0,0,10000,93,22
1, 1, 237781,12797,1028886, 0,0,10000,94,23
1, 1, 245600,13561,1064253, 0,0,10000,98,23
4, 1, 476614,26326,2064834, 33837,0,10000,150,43
4, 1, 478061,26157,2068672, 41748,0,10000,149,43
4, 1, 496582,27143,2149935, 29091,0,10000,154,45
8, 1, 616490,33711,2667983, 86580,0,10000,190,56
8, 1, 667730,37407,2893330, 90021,0,10000,206,61
8, 1, 625024,35155,2708629, 88420,0,10000,193,57
16, 1, 788623,42764,3410874, 195447,0,10000,243,71
16, 1, 775043,42676,3355264, 197128,0,10001,239,70
16, 1, 804629,45311,3486908, 198331,0,10000,248,73
32, 1, 877510,50210,3805060, 316361,0,10001,271,80
32, 1, 868309,47815,3758761, 325298,0,10002,268,79
32, 1, 861019,46599,3724830, 308590,0,10002,265,78
48, 1, 880864,47496,3808988, 377824,0,10003,271,80
48, 1, 901880,49586,3904577, 392502,0,10002,278,82
48, 1, 886143,49467,3838890, 353156,0,10003,273,81
