thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 248308,13435,1073394, 0,0,10000,99,24
1, 1, 248455,13482,1074810, 0,0,10000,98,24
1, 1, 249275,14227,1080619, 0,0,10000,99,24
4, 1, 526592,27894,2275995, 54252,0,10000,162,48
4, 1, 524576,28857,2271775, 48907,0,10000,162,47
4, 1, 528744,30296,2293622, 56102,0,10000,163,48
8, 1, 667404,37369,2891165, 108064,0,10000,206,60
8, 1, 679729,37272,2940506, 92585,0,10000,209,62
8, 1, 627448,35355,2720362, 90335,0,10000,194,57
16, 1, 823147,45104,3562993, 176676,0,10000,254,75
16, 1, 812151,44895,3516662, 194771,0,10000,250,74
16, 1, 766396,41686,3315060, 165013,0,10000,236,69
32, 1, 905069,49645,3916364, 276102,0,10001,279,82
32, 1, 911358,53622,3958807, 282410,0,10001,282,83
32, 1, 954044,50644,4122944, 292011,0,10001,294,87
48, 1, 916424,50150,3965605, 307231,0,10003,282,83
48, 1, 949721,52006,4110470, 313093,0,10002,293,86
48, 1, 905138,50540,3920599, 322545,0,10004,279,82
