thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
New Cap: 2147483648, Root idx: 1
1, 1, 218006,11623,941816, 0,0,10000,87,0
New Cap: 2147483648, Root idx: 1
1, 1, 192470,10347,833290, 0,0,10000,76,0
New Cap: 2147483648, Root idx: 1
1, 1, 222003,12448,961740, 0,0,10000,88,0
4, 1, 493751,26918,2136641, 22449,0,10000,152,0
4, 1, 471775,25918,2042068, 32881,0,10000,145,0
4, 1, 486584,26056,2105488, 21726,0,10000,150,0
8, 1, 624603,33971,2703302, 59401,0,10000,192,0
8, 1, 637246,34621,2757220, 54068,0,10000,196,0
8, 1, 646828,36891,2803730, 68943,0,10000,200,0
16, 1, 777500,42329,3362116, 140178,0,10000,239,0
16, 1, 784858,41958,3394101, 138793,0,10000,242,0
16, 1, 788715,43817,3415251, 140883,0,10000,243,0
32, 1, 898664,48785,3886797, 248806,0,10002,276,0
32, 1, 878411,47596,3798874, 229092,0,10002,270,0
32, 1, 905231,50347,3919881, 243201,0,10004,279,0
48, 1, 916379,50295,3966799, 275745,0,10003,282,0
48, 1, 904698,49499,3915139, 274035,0,10002,279,0
48, 1, 924852,50185,4003358, 268151,0,10003,285,0
