thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 290740,0,0, 0,0,9990,122,29
1, 1, 288295,0,0, 0,0,9992,120,29
1, 1, 306161,0,0, 0,0,9992,128,31
4, 4, 1011619,114,0, 0,0,9993,424,103
4, 4, 996877,108,0, 0,0,9993,418,102
4, 4, 952860,119,0, 0,0,9994,399,97
8, 8, 1820138,188,0, 0,0,9993,308,186
8, 8, 1848623,192,0, 0,0,9993,319,189
8, 8, 1793982,208,0, 0,0,9994,297,184
16, 16, 2772611,335,0, 0,0,9994,254,284
16, 16, 2914526,323,0, 0,0,9994,312,298
16, 16, 2897672,313,0, 0,0,9995,304,297
32, 32, 3510031,460,0, 0,0,9998,107,360
32, 32, 3140493,380,0, 0,0,9998,407,322
32, 32, 3363678,381,0, 0,0,9998,46,344
48, 48, 3415373,433,0, 0,0,10000,61,315
48, 48, 3358413,428,0, 0,0,10000,38,309
48, 48, 3380143,441,0, 0,0,9999,53,346
