thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 243406,0,0, 0,0,9993,101,24
1, 1, 259843,0,0, 0,0,9991,108,26
1, 1, 254524,0,0, 0,0,9993,107,26
4, 4, 928332,112,0, 0,0,9994,390,95
4, 4, 849042,89,0, 0,0,9994,355,86
4, 4, 870229,96,0, 0,0,9994,364,89
8, 8, 1577738,193,0, 0,0,9994,208,162
8, 8, 1570156,181,0, 0,0,9994,203,161
8, 8, 1575007,177,0, 0,0,9994,206,161
16, 16, 2147042,303,0, 0,0,9997,446,220
16, 16, 2257505,282,0, 0,0,9996,37,231
16, 16, 2379141,300,0, 0,0,9996,88,243
32, 32, 2683415,385,0, 0,0,9998,215,275
32, 32, 2640438,367,0, 0,0,9998,198,270
32, 32, 2561053,352,0, 0,0,9999,162,262
48, 48, 2602150,366,0, 0,0,10000,164,240
48, 48, 2709080,392,0, 0,0,10000,203,250
48, 48, 2686006,372,0, 0,0,10001,196,247
