thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 229073,12273,991154, 0,0,10000,91,22
1, 1, 244775,13820,1060003, 0,0,10000,97,23
1, 1, 239247,13233,1036567, 0,0,10000,95,23
4, 4, 752540,41177,3258486, 292,0,10000,299,73
4, 4, 741600,40699,3210616, 245,0,10000,295,72
4, 4, 747684,40607,3234140, 438,0,10000,297,72
8, 8, 1412702,77635,6116059, 633,0,10000,152,137
8, 8, 1449905,80521,6278466, 571,0,10000,168,141
8, 8, 1401487,77976,6069559, 441,0,10000,148,136
16, 16, 2153271,118946,9321782, 780,0,10000,38,209
16, 16, 2125797,116832,9202405, 942,0,10000,28,207
16, 16, 2257354,124287,9772593, 382,0,10001,80,219
32, 32, 2551536,139621,11041976, 636,0,10001,197,248
32, 32, 2625453,144369,11370250, 567,0,10001,226,255
32, 32, 2648280,145516,11461291, 688,0,10001,236,257
48, 48, 2445291,134654,10587379, 740,0,10002,155,238
48, 48, 2602536,143932,11268549, 677,0,10002,217,253
48, 48, 2554993,140059,11058628, 915,0,10002,198,248
