thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 244162,13448,1057035, 0,0,10000,97,23
1, 1, 207291,11518,898447, 0,0,10000,82,20
1, 1, 214334,11785,927686, 0,0,10000,85,20
4, 4, 737672,40470,3192221, 104,0,10000,293,71
4, 4, 815614,44842,3529317, 121,0,10000,324,79
4, 4, 782021,43199,3384720, 170,0,10000,311,75
8, 8, 1422656,78388,6159780, 201,0,10000,157,138
8, 8, 1479372,80678,6402596, 279,0,10000,179,143
8, 8, 1442794,79062,6244948, 172,0,10000,164,140
16, 16, 2202300,121163,9533942, 258,0,10000,59,214
16, 16, 2151677,118805,9316680, 256,0,10000,38,209
16, 16, 2242927,122148,9704281, 417,0,10000,74,217
32, 32, 2640795,144701,11432145, 335,0,10001,233,256
32, 32, 2773002,152052,12005102, 317,0,10001,285,269
32, 32, 2714931,148299,11752007, 417,0,10001,262,263
48, 48, 2562585,140682,11095235, 398,0,10002,202,249
48, 48, 2701967,148537,11696638, 331,0,10002,257,262
48, 48, 2578725,141164,11161534, 404,0,10002,208,250
