thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 395892,0,0, 0,0,9989,185,0
1, 1, 388463,0,0, 0,0,9989,181,0
1, 1, 397267,0,0, 0,0,9989,185,0
4, 1, 303770,11259632,0, 0,0,9999,142,0
4, 1, 298577,11254212,0, 0,0,9999,139,0
4, 1, 299054,9175465,0, 0,0,9998,140,0
8, 1, 296951,12991276,0, 0,0,10000,125,0
8, 1, 299766,13265729,0, 0,0,9999,140,0
8, 1, 295567,13180361,0, 0,0,9999,138,0
16, 1, 217024,7387783,0, 0,0,10001,91,0
16, 1, 250837,8421011,0, 0,0,10001,105,0
16, 1, 227945,7354920,0, 0,0,10001,95,0
