thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 276344,0,1381720, 0,0,10000,153,0
1, 1, 275731,0,1378655, 0,0,10000,153,0
1, 1, 275955,0,1379775, 0,0,10000,153,0
4, 1, 327352,0,1636760, 981777,0,10000,181,0
4, 1, 331394,0,1656970, 1010380,0,10000,183,0
4, 1, 341060,0,1705300, 1038059,0,10000,189,0
8, 1, 283706,0,1418530, 1295342,0,10000,157,0
8, 1, 293611,0,1468055, 1399538,0,10000,163,0
8, 1, 294449,0,1472245, 1373995,0,10000,163,0
16, 1, 263731,0,1318655, 1693537,0,10001,146,0
16, 1, 265068,0,1325340, 1766161,0,10001,147,0
16, 1, 257903,0,1289515, 1773556,0,10002,143,0
