thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 346167,0,0, 0,0,9991,145,0
1, 1, 356316,0,0, 0,0,9987,149,0
1, 1, 356555,0,0, 0,0,9990,149,0
4, 1, 500937,710008,0, 0,0,9996,156,0
4, 1, 509696,705228,0, 0,0,9996,159,0
4, 1, 514735,718859,0, 0,0,9996,160,0
8, 1, 442726,1420475,0, 0,0,9999,138,0
8, 1, 454051,1442594,0, 0,0,9999,141,0
8, 1, 454124,1504815,0, 0,0,9999,141,0
16, 1, 326296,2041166,0, 0,0,10000,91,0
16, 1, 339678,2259783,0, 0,0,10000,94,0
16, 1, 335919,2284519,0, 0,0,10001,93,0
