thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 298246,16715,1292969, 0,0,10000,119,0
1, 1, 295124,16246,1277728, 0,0,10000,117,0
1, 1, 293930,15997,1271875, 0,0,10000,116,0
4, 1, 479520,25959,2074729, 286916,0,10000,147,0
4, 1, 469916,26285,2035187, 296267,0,10000,145,0
4, 1, 476482,27130,2065743, 322282,0,10000,147,0
8, 1, 509788,28558,2206738, 603802,0,10000,157,0
8, 1, 555678,30676,2404332, 647148,0,10000,171,0
8, 1, 544583,30690,2359403, 630197,0,10000,168,0
16, 1, 564682,30082,2440183, 981409,0,10000,174,0
16, 1, 563159,31142,2437932, 1004433,0,10000,173,0
16, 1, 570417,30518,2467632, 1028524,0,10001,176,0
