thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 207934,0,1039670, 0,0,10000,115,36
1, 1, 208764,0,1043820, 0,0,10000,115,36
1, 1, 206816,0,1034080, 0,0,10000,114,36
4, 1, 559651,0,2798255, 16046,0,10000,310,98
4, 1, 564267,0,2821335, 15337,0,10000,313,99
4, 1, 550866,0,2754330, 20317,0,10000,305,96
8, 1, 838197,0,4190985, 49937,0,10000,56,147
8, 1, 831202,0,4156010, 49855,0,10000,52,146
8, 1, 826304,0,4131520, 52287,0,10000,49,145
16, 1, 976875,0,4884375, 96963,0,10000,133,172
16, 1, 928257,0,4641285, 84021,0,10000,106,163
16, 1, 960691,0,4803455, 90713,0,10000,124,169
