thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 294098,0,0, 0,0,9992,123,30
1, 1, 285156,0,0, 0,0,9992,119,29
1, 1, 288512,0,0, 0,0,9992,121,29
4, 1, 713089,338364,0, 0,0,9995,226,66
4, 1, 724541,338727,0, 0,0,9995,229,67
4, 1, 722438,341060,0, 0,0,9995,229,67
8, 1, 822197,767174,0, 0,0,9997,256,75
8, 1, 844444,787992,0, 0,0,9997,263,77
8, 1, 800837,746145,0, 0,0,9997,250,74
16, 1, 767209,1226000,0, 0,0,10000,212,62
16, 1, 796290,1194819,0, 0,0,10009,220,65
16, 1, 771035,1173427,0, 0,0,9999,237,70
