thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 240763,13634,1043417, 0,0,10000,95,23
1, 1, 246391,13790,1068594, 0,0,10000,98,24
1, 1, 229759,12773,994409, 0,0,10000,91,22
4, 1, 501340,27639,2170903, 55490,0,10000,155,45
4, 1, 483491,26831,2093561, 73197,0,10000,149,44
4, 1, 502819,27572,2175376, 59389,0,10000,154,45
8, 1, 691875,38071,2995945, 117802,0,10000,213,63
8, 1, 670804,36985,2904804, 97167,0,10000,207,61
8, 1, 693509,38832,3003619, 104598,0,10000,214,63
16, 1, 785340,43651,3402215, 175601,0,10000,242,71
16, 1, 794877,45047,3444395, 195387,0,10000,245,72
16, 1, 793484,44480,3436525, 169176,0,10000,244,72
32, 1, 837293,44784,3619332, 279065,0,10001,257,76
32, 1, 840365,45084,3634131, 250968,0,10001,259,76
32, 1, 860296,47103,3722727, 275750,0,10001,265,78
48, 1, 800818,42244,3460973, 328049,0,10002,247,73
48, 1, 842402,46796,3648898, 342782,0,10002,260,77
48, 1, 820851,45598,3554248, 347055,0,10002,253,75
