thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 196439,0,982195, 0,0,10000,109,34
1, 1, 194995,0,974975, 0,0,10000,108,34
1, 1, 185853,0,929265, 0,0,10000,103,32
4, 1, 519333,0,2596665, 15884,0,10000,288,91
4, 1, 533807,0,2669035, 15260,0,10000,296,93
4, 1, 543803,0,2719015, 15321,0,10000,301,95
8, 1, 828899,0,4144495, 48705,0,10000,50,146
8, 1, 827298,0,4136490, 48918,0,10000,49,145
8, 1, 826037,0,4130185, 45519,0,10000,49,145
16, 1, 1000631,0,5003155, 94360,0,10000,146,176
16, 1, 959091,0,4795455, 81348,0,10000,123,168
16, 1, 976168,0,4880840, 90424,0,10000,132,171
32, 1, 922965,0,4614825, 128895,0,10001,103,162
32, 1, 1116078,0,5580390, 125953,0,10002,210,196
32, 1, 1137264,0,5686320, 129696,0,10002,222,200
48, 1, 1048826,0,5244130, 132336,0,10003,173,184
48, 1, 1016412,0,5082060, 119705,0,10003,154,179
48, 1, 1004097,0,5020485, 128153,0,10003,148,176
