thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 275127,0,0, 0,0,9992,115,28
1, 1, 277374,0,0, 0,0,9992,116,28
1, 1, 274604,0,0, 0,0,9992,115,28
4, 1, 700205,346867,0, 0,0,9995,222,65
4, 1, 708713,363676,0, 0,0,9995,224,66
4, 1, 720968,354919,0, 0,0,9995,228,67
8, 1, 841396,832953,0, 0,0,9997,262,77
8, 1, 865866,850455,0, 0,0,9997,270,79
8, 1, 785133,760463,0, 0,0,9998,245,72
16, 1, 711397,1124762,0, 0,0,10002,197,58
16, 1, 742920,1189493,0, 0,0,10000,206,60
16, 1, 731813,1166856,0, 0,0,10002,202,59
32, 1, 576133,1453900,0, 0,0,10005,157,46
32, 1, 551673,1368535,0, 0,0,10010,151,44
32, 1, 560326,1344894,0, 0,0,10005,152,45
48, 1, 414692,1398951,0, 0,0,10024,112,33
48, 1, 431996,1468524,0, 0,0,10023,117,34
48, 1, 418377,1435576,0, 0,0,10013,113,33
