thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 194407,0,972035, 0,0,10000,107,34
1, 1, 217707,0,1088535, 0,0,10000,120,38
1, 1, 191962,0,959810, 0,0,10000,106,33
4, 1, 509166,0,2545830, 29949,0,10000,282,89
4, 1, 476351,0,2381755, 27210,0,10000,264,83
4, 1, 495285,0,2476425, 29736,0,10000,275,87
8, 1, 730281,0,3651405, 80177,0,10000,405,128
8, 1, 709017,0,3545085, 79800,0,10000,393,124
8, 1, 732582,0,3662910, 75636,0,10000,406,129
16, 1, 872921,0,4364605, 136264,0,10003,74,153
16, 1, 894043,0,4470215, 141469,0,10000,87,157
16, 1, 864187,0,4320935, 131939,0,10000,70,152
