thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 233566,12698,1010442, 0,0,10000,93,22
1, 1, 213424,11662,923269, 0,0,10000,85,20
1, 1, 213222,11793,923560, 0,0,10000,84,20
4, 1, 448918,25445,1944582, 38730,0,10000,143,41
4, 1, 466958,26027,2024335, 43181,0,10000,146,43
4, 1, 420897,23984,1823956, 29557,0,10000,140,39
8, 1, 609622,33942,2641096, 85818,0,10000,193,56
8, 1, 615691,33662,2663629, 96626,0,10000,189,56
8, 1, 589840,32346,2553425, 98351,0,10000,182,54
16, 1, 723040,40930,3131807, 219198,0,10000,222,66
16, 1, 710558,38956,3076086, 203318,0,10001,219,65
16, 1, 717271,39595,3105423, 212169,0,10000,221,65
