thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 217261,12001,940112, 0,0,10000,86,21
1, 1, 216553,11972,937815, 0,0,10000,86,21
1, 1, 215944,11892,934558, 0,0,10000,86,20
4, 1, 485344,26471,2101234, 68990,0,10000,150,44
4, 1, 500522,27003,2164478, 96979,0,10000,154,45
4, 1, 483400,26798,2093894, 72078,0,10000,149,44
8, 1, 633958,32821,2738527, 117563,0,10000,195,57
8, 1, 654707,36231,2834946, 151672,0,10000,201,59
8, 1, 681518,36647,2948345, 131496,0,10000,210,62
16, 1, 796156,44733,3450357, 193174,0,10000,246,72
16, 1, 759751,42013,3289018, 232697,0,10000,234,69
16, 1, 762617,42193,3301750, 212609,0,10001,235,69
32, 1, 835770,47075,3621190, 298132,0,10002,258,76
32, 1, 852086,46316,3686486, 297440,0,10001,262,77
32, 1, 837828,46512,3628398, 293536,0,10001,258,76
48, 1, 843154,46335,3651539, 380090,0,10003,260,77
48, 1, 824652,45132,3568448, 357330,0,10003,254,75
48, 1, 922528,50327,3993291, 383029,0,10002,285,84
