thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 413640,0,0, 0,0,9988,193,0
1, 1, 421082,0,0, 0,0,9989,196,0
1, 1, 412187,0,0, 0,0,9989,192,0
4, 1, 961600,200092,0, 0,0,9993,449,0
4, 1, 934374,201608,0, 0,0,9994,436,0
4, 1, 955045,202257,0, 0,0,9994,446,0
8, 1, 1461306,956374,0, 0,0,9995,226,0
8, 1, 1499902,1025046,0, 0,0,9995,243,0
8, 1, 1477628,966991,0, 0,0,9995,233,0
16, 1, 1879001,4858457,0, 0,0,9997,418,0
16, 1, 1781914,4673642,0, 0,0,9997,373,0
16, 1, 1815152,4623426,0, 0,0,9997,389,0
32, 1, 1280768,3291183,0, 0,0,9999,141,0
32, 1, 1247448,3281416,0, 0,0,10000,113,0
32, 1, 1174708,2741259,0, 0,0,9999,91,0
48, 1, 502573,1437459,0, 0,0,10002,210,0
48, 1, 535802,1427411,0, 0,0,10002,224,0
48, 1, 517957,1375860,0, 0,0,10002,216,0
