thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 276875,0,1384375, 0,0,10000,153,0
1, 1, 277928,0,1389640, 0,0,10000,154,0
1, 1, 271926,0,1359630, 0,0,10000,151,0
4, 1, 315645,0,1578225, 986897,0,10000,175,0
4, 1, 325571,0,1627855, 978938,0,10000,180,0
4, 1, 327594,0,1637970, 960134,0,10000,181,0
8, 1, 285605,0,1428025, 1395575,0,10000,158,0
8, 1, 303014,0,1515070, 1460561,0,10000,168,0
8, 1, 300796,0,1503980, 1461935,0,10000,167,0
16, 1, 264537,0,1322685, 1693380,0,10001,146,0
16, 1, 263576,0,1317880, 1770067,0,10001,146,0
16, 1, 262620,0,1313100, 1789531,0,10001,145,0
