thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 352413,0,0, 0,0,9990,147,0
1, 1, 354437,0,0, 0,0,9990,148,0
1, 1, 356007,0,0, 0,0,9990,150,0
4, 1, 509296,700698,0, 0,0,9997,158,0
4, 1, 530510,729758,0, 0,0,9996,165,0
4, 1, 516602,714758,0, 0,0,9997,160,0
8, 1, 471870,1585213,0, 0,0,9998,146,0
8, 1, 462593,1503015,0, 0,0,9998,144,0
8, 1, 456769,1460612,0, 0,0,9999,142,0
16, 1, 343882,2308874,0, 0,0,10001,95,0
16, 1, 323287,2197166,0, 0,0,10000,90,0
16, 1, 327920,2146725,0, 0,0,10000,91,0
