thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 290226,15757,1255470, 0,0,10000,115,0
1, 1, 294312,16304,1273954, 0,0,10000,116,0
1, 1, 299386,16536,1297272, 0,0,10000,119,0
4, 1, 472113,26337,2045271, 325864,0,10000,145,0
4, 1, 475736,25975,2059078, 307634,0,10000,147,0
4, 1, 472775,26062,2046312, 304258,0,10000,146,0
8, 1, 552307,30748,2393405, 643265,0,10000,170,0
8, 1, 541210,30197,2343726, 600194,0,10000,167,0
8, 1, 546707,29979,2366338, 640553,0,10000,168,0
16, 1, 569452,31228,2463595, 992107,0,10000,175,0
16, 1, 555934,29859,2405496, 958109,0,10000,171,0
16, 1, 561403,30738,2431428, 1037962,0,10000,173,0
