thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 240114,0,1200570, 0,0,10000,133,42
1, 1, 236592,0,1182960, 0,0,10000,131,41
1, 1, 238975,0,1194875, 0,0,10000,132,42
4, 4, 679080,0,3395400, 135,0,10000,377,119
4, 4, 691320,0,3456600, 106,0,10000,384,121
4, 4, 668681,0,3343405, 73,0,10000,371,117
8, 8, 1078329,0,5391645, 203,0,10000,189,189
8, 8, 1080130,0,5400650, 163,0,10000,189,190
8, 8, 1054829,0,5274145, 158,0,10000,176,185
16, 16, 1537498,0,7687490, 220,0,10000,34,270
16, 16, 1445920,0,7229600, 189,0,10000,393,254
16, 16, 1532674,0,7663370, 152,0,10000,31,269
