thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 286843,0,0, 0,0,9992,120,29
1, 1, 297226,0,0, 0,0,9992,124,30
1, 1, 298719,0,0, 0,0,9992,125,30
4, 4, 984714,96,0, 0,0,9993,411,100
4, 4, 996369,119,0, 0,0,9994,418,102
4, 4, 1023464,99,0, 0,0,9993,429,104
8, 8, 1869998,199,0, 0,0,9993,328,191
8, 8, 1826403,206,0, 0,0,9994,311,187
8, 8, 1845247,206,0, 0,0,9994,319,189
16, 16, 2650603,299,0, 0,0,9995,202,271
16, 16, 2916777,362,0, 0,0,9995,313,298
16, 16, 2966821,336,0, 0,0,9995,334,304
32, 32, 3250581,448,0, 0,0,9998,453,333
32, 32, 3483036,434,0, 0,0,9997,97,357
32, 32, 3270177,428,0, 0,0,9998,7,335
48, 48, 3398558,402,0, 0,0,10000,54,313
48, 48, 3143016,394,0, 0,0,10000,366,290
48, 48, 3383328,469,0, 0,0,10000,49,312
