thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 230161,13123,997992, 0,0,10000,92,22
1, 1, 250149,13125,1081442, 0,0,10000,99,24
1, 1, 224690,11964,971424, 0,0,10000,89,21
4, 4, 791564,43929,3427410, 109,0,10000,315,76
4, 4, 769137,42573,3330620, 175,0,10000,306,74
4, 4, 671812,37307,2909000, 105,0,10000,268,65
8, 8, 1403883,76298,6075355, 158,0,10000,149,136
8, 8, 1370532,74434,5928781, 201,0,10000,134,132
8, 8, 1468428,80692,6357294, 276,0,10000,175,142
16, 16, 2087020,114897,9036260, 277,0,10000,10,202
16, 16, 2249108,123912,9737464, 296,0,10000,76,218
16, 16, 2148810,118452,9302005, 313,0,10000,37,208
32, 32, 2655218,146616,11494217, 308,0,10001,238,257
32, 32, 2562898,142179,11101072, 459,0,10001,201,249
32, 32, 2582698,142213,11176320, 492,0,10004,209,250
48, 48, 2601664,141997,11258380, 363,0,10003,217,252
48, 48, 2571118,141091,11130030, 296,0,10002,204,249
48, 48, 2611125,144390,11307442, 308,0,10001,221,254
