thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 220606,0,1103030, 0,0,10000,122,38
1, 1, 176477,0,882385, 0,0,10000,97,31
1, 1, 194806,0,974030, 0,0,10000,108,34
4, 4, 623751,0,3118755, 64,0,10002,346,109
4, 4, 611142,0,3055710, 81,0,10001,339,107
4, 4, 606789,0,3033945, 70,0,10000,336,106
8, 8, 993601,0,4968005, 137,0,10000,142,175
8, 8, 1057552,0,5287760, 161,0,10000,177,186
8, 8, 1041704,0,5208520, 115,0,10000,169,183
16, 16, 1403078,0,7015390, 182,0,10000,369,247
16, 16, 1444403,0,7222015, 140,0,10000,392,254
16, 16, 1401728,0,7008640, 139,0,10000,369,247
32, 32, 1517941,0,7589705, 257,0,10001,23,267
32, 32, 1486706,0,7433530, 224,0,10001,6,261
32, 32, 1532821,0,7664105, 182,0,10001,32,270
48, 48, 1527248,0,7636240, 140,0,10001,29,269
48, 48, 1505053,0,7525265, 243,0,10001,16,265
48, 48, 1504001,0,7520005, 157,0,10003,16,264
