thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 284907,0,0, 0,0,9992,119,29
1, 1, 272791,0,0, 0,0,9991,114,27
1, 1, 276999,0,0, 0,0,9990,116,28
4, 4, 901569,106,0, 0,0,9992,378,92
4, 4, 857380,129,0, 0,0,9994,359,87
4, 4, 903867,104,0, 0,0,9994,378,92
8, 8, 1777158,187,0, 0,0,9994,290,182
8, 8, 1763621,228,0, 0,0,9994,285,181
8, 8, 1634879,198,0, 0,0,9995,230,167
16, 16, 2613654,288,0, 0,0,9996,186,267
16, 16, 2855391,327,0, 0,0,9994,288,293
16, 16, 2953494,359,0, 0,0,9995,329,303
32, 32, 3293493,476,0, 0,0,9998,17,337
32, 32, 3240587,443,0, 0,0,9999,449,332
32, 32, 3465358,482,0, 0,0,9999,88,355
48, 48, 3324603,458,0, 0,0,10000,25,306
48, 48, 3382000,511,0, 0,0,9999,55,347
48, 48, 3154001,415,0, 0,0,10000,371,291
