thread_num,wh_num,success,abort,pc_success,pc_abort,mmap_cnt,total_time,log_size,flush_size
1, 1, 220790,0,1103950, 0,0,10000,122,38
1, 1, 182779,0,913895, 0,0,10000,101,32
1, 1, 204552,0,1022760, 0,0,10000,113,36
4, 4, 637178,0,3185890, 337,0,10000,353,112
4, 4, 622943,0,3114715, 289,0,10000,345,109
4, 4, 606681,0,3033405, 194,0,10000,336,106
8, 8, 1061098,0,5305490, 274,0,10000,179,186
8, 8, 1036704,0,5183520, 346,0,10000,166,182
8, 8, 989555,0,4947775, 442,0,10000,139,174
16, 16, 1320967,0,6604835, 253,0,10000,324,232
16, 16, 1405031,0,7025155, 299,0,10000,370,247
16, 16, 1385324,0,6926620, 320,0,10000,359,244
32, 32, 1576727,0,7883635, 367,0,10001,56,277
32, 32, 1546901,0,7734505, 323,0,10001,39,272
32, 32, 1528132,0,7640660, 344,0,10001,29,269
48, 48, 1506711,0,7533555, 234,0,10002,17,265
48, 48, 1496779,0,7483895, 351,0,10002,12,263
48, 48, 1467025,0,7335125, 325,0,10001,405,258
